SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Lacam2|672261|Lacam1.fgenesh1_kg.6_#_155_#_Locus16459v1rpkm1.26,64,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacam2|128199|Lacam1.fgenesh1_pm.6_#_138,487,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacam2|532681|Lacam1.CE396936_4729,252,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacam2|532680|Lacam1.CE396935_2098,382,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacam2|672259|Lacam1.fgenesh1_kg.6_#_153_#_Locus1681v1rpkm81.76,158,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacam2|672258|Lacam1.fgenesh1_kg.6_#_152_#_Locus933v1rpkm131.23,274,4,IN,4,IN,R,R,R,R,G,R,R
jgi|Lacam2|84589|Lacam1.e_gw1.6.134.1,193,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacam2|84480|Lacam1.e_gw1.6.154.1,1014,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacam2|128193|Lacam1.fgenesh1_pm.6_#_132,185,2,IN,2,OUT,R,R,R,R,G,R,R
jgi|Lacam2|128192|Lacam1.fgenesh1_pm.6_#_131,222,5,OUT,6,IN,R,R,R,R,G,G,R
jgi|Lacam2|84295|Lacam1.e_gw1.6.26.1,490,9,OUT,13,OUT,R,R,R,R,G,G,G
jgi|Lacam2|532483|Lacam1.CE396738_5741,463,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Lacam2|128215|Lacam1.fgenesh1_pm.6_#_154,300,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Lacam2|672253|Lacam1.fgenesh1_kg.6_#_147_#_Locus428v1rpkm276.89,78,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Lacam2|672252|Lacam1.fgenesh1_kg.6_#_146_#_Locus398v1rpkm294.75,424,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacam2|672250|Lacam1.fgenesh1_kg.6_#_144_#_Locus3026v1rpkm49.84,947,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacam2|128185|Lacam1.fgenesh1_pm.6_#_124,414,4,OUT,4,IN,R,R,R,R,R,R,R
jgi|Lacam2|531438|Lacam1.CE395693_2421,337,4,IN,4,IN,R,R,R,R,G,R,G
jgi|Lacam2|84550|Lacam1.e_gw1.6.522.1,213,4,IN,4,IN,R,R,R,R,R,R,G
jgi|Lacam2|658669|Lacam1.MIX37898_1490_95,197,2,OUT,4,IN,R,R,R,R,G,R,R
jgi|Lacam2|672248|Lacam1.fgenesh1_kg.6_#_142_#_Locus4826v1rpkm31.33,692,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacam2|1714113|fgenesh1_pm.6_#_119,188,3,OUT,5,IN,R,R,R,R,R,R,R
