SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suilu4|100001|Suilu3.Suilu1.e_gw1.862.16.1,93,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100059|Suilu3.Suilu1.e_gw1.871.1.1,72,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|10006|Suilu3.Suilu1.gm1.2721_g,122,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilu4|100080|Suilu3.Suilu1.e_gw1.874.3.1,75,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilu4|100092|Suilu3.Suilu1.e_gw1.876.1.1,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100098|Suilu3.Suilu1.e_gw1.877.10.1,238,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|10017|Suilu3.Suilu1.gm1.2732_g,720,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100207|Suilu3.Suilu1.e_gw1.895.7.1,914,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100215|Suilu3.Suilu1.e_gw1.896.4.1,298,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100219|Suilu3.Suilu1.e_gw1.896.10.1,137,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilu4|100256|Suilu3.Suilu1.e_gw1.900.6.1,104,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suilu4|100311|Suilu3.Suilu1.e_gw1.904.9.1,213,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100326|Suilu3.Suilu1.e_gw1.907.3.1,384,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100355|Suilu3.Suilu1.e_gw1.911.14.1,496,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100445|Suilu3.Suilu1.e_gw1.928.4.1,116,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100465|Suilu3.Suilu1.e_gw1.932.9.1,55,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100491|Suilu3.Suilu1.e_gw1.933.4.1,251,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilu4|100526|Suilu3.Suilu1.e_gw1.944.3.1,92,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilu4|100527|Suilu3.Suilu1.e_gw1.944.4.1,59,0,OUT,1,OUT,R,R,R,R,R,R,R
