SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suiamp1|1000003|gm1.7088_g,194,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Suiamp1|1000006|gm1.7091_g,237,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000007|gm1.7092_g,213,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000020|gm1.7105_g,262,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000021|gm1.7106_g,99,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000022|gm1.7107_g,290,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000024|gm1.7109_g,260,1,IN,3,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000029|gm1.7114_g,152,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000035|gm1.7120_g,611,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000038|gm1.7123_g,119,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000040|gm1.7125_g,347,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000053|gm1.7138_g,320,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000054|gm1.7139_g,326,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Suiamp1|1000066|gm1.7151_g,522,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000095|gm1.7180_g,417,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000096|gm1.7181_g,123,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000100|gm1.7185_g,234,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000102|gm1.7187_g,459,12,IN,12,IN,R,R,R,R,R,G,G
jgi|Suiamp1|1000114|gm1.7199_g,160,3,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suiamp1|1000116|gm1.7201_g,208,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000119|gm1.7204_g,359,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000131|gm1.7216_g,198,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000133|gm1.7218_g,343,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000134|gm1.7219_g,722,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000135|gm1.7220_g,136,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suiamp1|1000139|gm1.7224_g,1300,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000148|gm1.7233_g,672,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000168|gm1.7253_g,720,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000173|gm1.7258_g,617,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000178|gm1.7263_g,370,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000182|gm1.7267_g,348,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000188|gm1.7273_g,135,0,OUT,2,IN,R,R,R,R,G,R,G
jgi|Suiamp1|1000198|gm1.7283_g,380,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000214|gm1.7299_g,884,8,IN,9,OUT,R,R,R,R,R,G,R
jgi|Suiamp1|1000222|gm1.7307_g,349,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suiamp1|1000225|gm1.7310_g,253,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiamp1|1000240|gm1.7325_g,255,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000250|gm1.7335_g,529,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiamp1|1000263|gm1.7348_g,330,0,OUT,0,OUT,R,R,R,R,R,R,R
