SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suisub1|1001329|CE1001328_2315,491,2,IN,1,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1001490|CE1001489_3921,461,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suisub1|1001608|CE1001607_4073,573,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1002605|CE1002604_20244,350,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suisub1|1004322|CE1004321_19536,178,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1004497|CE1004496_6938,225,4,IN,5,IN,R,R,R,R,R,R,G
jgi|Suisub1|1005676|CE1005675_22626,180,3,IN,3,IN,R,R,R,R,R,R,G
jgi|Suisub1|1006193|CE1006192_42706,872,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|100625|CE100624_3612,488,4,IN,5,OUT,R,R,R,R,G,G,G
jgi|Suisub1|1006916|CE1006915_3266,419,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suisub1|1006991|CE1006990_4479,259,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1007237|CE1007236_20506,549,1,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Suisub1|1007475|CE1007474_6413,92,0,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Suisub1|1007635|CE1007634_2997,200,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suisub1|1007998|CE1007997_15911,922,5,OUT,5,OUT,R,R,R,R,R,G,G
jgi|Suisub1|1008104|CE1008103_931,170,1,IN,1,OUT,R,R,R,R,G,R,G
jgi|Suisub1|1008648|CE1008647_1221,1105,10,IN,10,OUT,R,R,R,R,R,G,R
jgi|Suisub1|1009649|CE1009648_11326,1143,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suisub1|1011209|CE1011208_3037,226,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|101209|CE101208_297,110,1,IN,1,IN,R,R,R,R,R,R,G
jgi|Suisub1|1012127|CE1012126_1611,488,12,IN,12,IN,R,R,R,R,G,G,G
jgi|Suisub1|1012142|CE1012141_1248,501,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1012500|CE1012499_4929,225,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1012576|CE1012575_2278,342,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suisub1|1012802|CE1012801_6567,324,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Suisub1|1012878|CE1012877_13676,946,0,OUT,1,IN,R,R,R,R,R,R,R
