SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suitom1|100055|CE100054_378,272,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|100225|CE100224_19,65,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|101124|CE101123_98,204,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|101141|CE101140_59,106,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Suitom1|101155|CE101154_29,139,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Suitom1|101175|CE101174_297,555,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|101184|CE101183_593,261,1,OUT,3,OUT,R,R,R,R,R,R,G
jgi|Suitom1|101288|CE101287_7591,1175,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|101581|CE101580_2553,545,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|101752|CE101751_401,111,4,IN,4,IN,R,R,R,R,R,R,G
jgi|Suitom1|101932|CE101931_1219,459,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|102007|CE102006_4044,466,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|102034|CE102033_14904,87,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|102267|CE102266_1398,417,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|102288|CE102287_76995,135,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Suitom1|102907|CE102906_1140,316,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|103228|CE103227_3995,211,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|103324|CE103323_251,245,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|103417|CE103416_889,108,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|103453|CE103452_510,480,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|103736|CE103735_166,168,3,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Suitom1|103938|CE103937_10922,471,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|104104|CE104103_1044,169,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|105859|CE105858_224,139,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|105901|CE105900_2982,376,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|106418|CE106417_43,96,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|106453|CE106452_66,90,2,IN,2,IN,R,R,R,R,G,R,G
jgi|Suitom1|106512|CE106511_42,292,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|106532|CE106531_2777,718,1,IN,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|106646|CE106645_1443,92,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|106745|CE106744_231,236,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|106849|CE106848_509,342,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|107634|CE107633_5337,181,1,IN,1,IN,R,R,R,R,G,R,R
jgi|Suitom1|107943|CE107942_52,130,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|10795|CE10794_1382,330,3,OUT,3,OUT,R,R,R,R,G,G,R
jgi|Suitom1|10800|CE10799_956,310,4,OUT,3,IN,R,R,R,R,G,G,G
jgi|Suitom1|108127|CE108126_10348,1432,12,IN,12,IN,R,R,R,R,G,G,R
jgi|Suitom1|108198|CE108197_2648,124,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Suitom1|108288|CE108287_223,317,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|10830|CE10829_3197,184,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|108406|CE108405_42,94,1,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suitom1|108451|CE108450_155,158,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suitom1|109079|CE109078_7535,238,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|109288|CE109287_15050,594,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|109694|CE109693_6273,2109,24,IN,22,IN,R,R,R,R,G,G,G
jgi|Suitom1|109816|CE109815_1274,264,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|109866|CE109865_166,122,1,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suitom1|110124|CE110123_4729,372,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|110368|CE110367_7717,301,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|110719|CE110718_126,428,10,IN,10,IN,R,R,R,R,G,G,G
jgi|Suitom1|111706|CE111705_988,151,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|111879|CE111878_862,277,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|112080|CE112079_13849,432,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|112224|CE112223_1336,675,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|112247|CE112246_18602,550,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|112286|CE112285_101,155,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|112752|CE112751_134,103,3,OUT,3,OUT,R,R,R,R,R,R,G
jgi|Suitom1|113141|CE113140_648,334,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|113246|CE113245_207,98,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Suitom1|113585|CE113584_1143,293,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|113879|CE113878_10988,955,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|113923|CE113922_97,96,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Suitom1|113971|CE113970_5118,506,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|114015|CE114014_419,272,4,IN,5,OUT,R,R,R,R,G,G,G
jgi|Suitom1|114051|CE114050_588,247,4,IN,5,OUT,R,R,R,R,G,G,G
jgi|Suitom1|114057|CE114056_5329,156,1,IN,2,IN,R,R,R,R,R,R,R
jgi|Suitom1|114252|CE114251_537,533,2,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suitom1|114472|CE114471_430,404,1,OUT,3,OUT,R,R,R,R,G,G,R
jgi|Suitom1|114698|CE114697_674,99,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|114746|CE114745_107,220,2,IN,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|115518|CE115517_4342,566,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|115545|CE115544_1031,351,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|115626|CE115625_1413,156,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|115790|CE115789_703,602,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|115931|CE115930_150,183,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|115952|CE115951_223,87,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|115958|CE115957_75,192,4,IN,4,IN,R,R,R,R,G,G,G
jgi|Suitom1|117172|CE117171_564,159,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|117434|CE117433_5112,423,1,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Suitom1|117520|CE117519_118,86,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|117768|CE117767_569,338,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|117813|CE117812_983,338,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|117838|CE117837_232,338,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|117871|CE117870_33,94,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|117933|CE117932_536,95,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|118257|CE118256_215,389,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|118392|CE118391_63,158,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|118891|CE118890_10968,296,1,IN,1,IN,R,R,R,R,R,R,G
jgi|Suitom1|118953|CE118952_919,441,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|119659|CE119658_86,212,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|119907|CE119906_918,335,8,IN,7,OUT,G,R,R,R,G,G,G
jgi|Suitom1|120032|CE120031_102,62,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Suitom1|120095|CE120094_94,251,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|12011|CE12010_3900,150,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Suitom1|120367|CE120366_2193,1246,9,IN,10,IN,R,R,R,R,G,G,R
jgi|Suitom1|121143|CE121142_2233,191,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suitom1|121425|CE121424_598,234,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suitom1|121660|CE121659_649,134,3,OUT,3,OUT,R,R,R,R,R,R,G
jgi|Suitom1|122025|CE122024_3105,686,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suitom1|122136|CE122135_1390,124,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|122215|CE122214_2753,173,2,IN,2,OUT,R,R,R,R,R,R,G
jgi|Suitom1|12223|CE12222_1470,297,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|122763|CE122762_1193,238,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|122792|CE122791_234,318,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123077|CE123076_349,224,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123080|CE123079_549,185,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123115|CE123114_3673,87,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123299|CE123298_66,288,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suitom1|123302|CE123301_439,359,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123388|CE123387_10151,286,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123579|CE123578_15,163,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suitom1|123655|CE123654_755,324,0,OUT,0,IN,R,R,R,R,R,R,R
