SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suipal1|1000819|gw1.241.1.1,88,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1000835|gw1.57.1.1,77,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1000901|gw1.248.1.1,165,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1000947|gw1.21.4.1,52,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipal1|1000979|gw1.49.1.1,257,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001002|gw1.65.2.1,71,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001010|gw1.10.7.1,62,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipal1|1001161|gw1.2.19.1,94,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001295|gw1.21.10.1,107,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001316|gw1.126.1.1,64,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001427|gw1.81.6.1,395,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001485|gw1.54.2.1,185,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001496|gw1.126.2.1,204,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1001698|gw1.5.23.1,64,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipal1|1001934|gw1.79.6.1,90,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipal1|1001974|gw1.89.5.1,97,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipal1|1002004|gw1.267.1.1,60,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002069|gw1.169.1.1,84,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002071|gw1.36.7.1,94,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002315|gw1.36.9.1,123,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipal1|1002344|gw1.49.9.1,56,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002403|gw1.125.4.1,100,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipal1|1002465|gw1.32.15.1,63,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipal1|1002518|gw1.13.16.1,99,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002589|gw1.70.16.1,108,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002626|gw1.170.4.1,90,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002670|gw1.71.12.1,166,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suipal1|1002709|gw1.21.32.1,151,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002778|gw1.79.16.1,119,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002811|gw1.11.34.1,81,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002853|gw1.21.36.1,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002913|gw1.2.101.1,60,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1002974|gw1.30.15.1,92,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003006|gw1.5.55.1,182,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003058|gw1.72.11.1,180,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipal1|1003178|gw1.183.7.1,63,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipal1|1003424|gw1.241.6.1,158,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003527|gw1.9.28.1,55,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|100354|CE100353_2203,491,1,OUT,2,OUT,R,R,R,R,G,R,R
jgi|Suipal1|1003642|gw1.136.7.1,91,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipal1|1003730|gw1.212.1.1,92,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003776|gw1.16.31.1,51,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipal1|1003789|gw1.100.9.1,172,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipal1|1003827|gw1.18.31.1,70,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003870|gw1.13.31.1,154,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003880|gw1.29.33.1,467,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003906|gw1.3.73.1,938,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1003978|gw1.84.18.1,65,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1004033|gw1.194.7.1,113,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1004058|gw1.8.95.1,157,0,IN,0,OUT,R,R,R,R,G,R,R
jgi|Suipal1|1004138|gw1.108.14.1,66,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipal1|1004174|gw1.17.69.1,131,0,OUT,0,OUT,R,R,R,R,R,R,G
