3-oxoacid CoA-transferase	3-oxoacid CoA-transferase, subunit B	6-phosphogluconate dehydrogenase, C-terminal-like	ABC-transporter extracellular N-terminal domain	Acetohydroxy acid isomeroreductase	Acetohydroxy acid isomeroreductase C-terminal	Acetohydroxy acid isomeroreductase, catalytic	Adenosine deaminase-related growth factor	Aldehyde dehydrogenase NAD(P)-dependent	Aldo/keto reductase, conserved site	Allantoicase	Allophanate hydrolase subunit 1	Allophanate hydrolase subunit 2	Alpha-hydroxy acid dehydrogenase, FMN-dependent	Amidophosphoribosyl transferase	Amino acid transporter, transmembrane	Amino acid/polyamine transporter I	Asp/Glu/hydantoin racemase	Ataxin 2, SM domain	Cerato-platanin	CHAT domain	CinA, C-terminal	Coenzyme A transferase active site	Coenzyme A transferase family I	Cryptochrome/DNA photolyase, class 1 conserved site, C-terminal	Cysteine desulfurase, NifS	D-amino-acid oxidase	Dihydrolipoamide succinyltransferase	DNA recombination and repair protein RecA	Dna2/Cas4, domain of unknown function DUF83	Domain of unknown function DUF1691	Domain of unknown function DUF21	Domain of unknown function DUF4149	FAD binding domain	Ferredoxin-NADP+ reductase, adrenodoxin-type	Fumarase C, C-terminal	Fumarate hydratase, class II	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal	Fumarate reductase/succinate dehydrogenase, FAD-binding site	General substrate transporter	Glutathione S-transferase, C-terminal	Glutathione S-transferase, C-terminal-like	GTP binding domain	Immunity-related GTPases-like	IRG-type guanine nucleotide-binding (G) domain	Isoprenylcysteine carboxyl methyltransferase	Ketol-acid reductoisomerase, fungi	Kinetochore protein Spc7, C-terminal domain	Laminin IV	Leucine-rich repeat, ribonuclease inhibitor subtype	Major facilitator superfamily	Maleate isomerase/Arylmalonate decarboxylase	Mandelate racemase/muconate lactonizing enzyme, conserved site	Mating-type protein, C-terminal domain	Methyltransferase small domain	Molybdenum cofactor sulfurase, C-terminal	Multicopper oxidase, type 1	Multicopper oxidase, type 2	Multicopper oxidase, type 3	Nucleobase cation symporter-1, NCS1	Peptidase M20	Peptidase M20, carboxypeptidase S	Peptidase S28	Phosphogluconate dehydrogenase, NAD-binding, putative, C-terminal	Phosphoglycerate/bisphosphoglycerate mutase, active site	PIN domain-like	Plasmid pRiA4b, Orf3	Polyketide synthase, thioesterase domain	Polysaccharide lyase family 8, central domain	Probable nicotinate-nucleotide adenylyltransferase	Proline-specific peptidase	Protein MM3350-like domain	Protein of unknown function DUF3328	Protein of unknown function DUF829, TMEM53	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	Ribonuclease P/MRP, p29 subunit	RNA polymerase II elongation factor ELL	Squalene epoxidase	SRA-YDG	Stress-associated endoplasmic reticulum protein	Succinate dehydrogenase, flavoprotein subunit	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	Thioesterase	Thioredoxin reductase	TIM-barrel domain, IGPS-like	UbiA prenyltransferase family	Uncharacterised protein family UPF0261	Uncharacterised protein family, glycosyl hydrolase catalytic domain	WHIM2 domain	XPG-I domain
Suibov1	3	3	18	4	3	3	4	3	4	25	3	2	2	6	4	8	56	2	1	6	73	2	3	6	1	1	3	2	1	1	1	4	1	4	1	2	2	4	1	41	15	54	70	6	7	13	3	1	1	5	166	2	3	1	0	2	16	16	17	5	10	4	10	3	3	18	1	5	2	2	12	1	29	3	1	1	1	4	20	1	2	2	7	2	2	17	1	3	1	24
Suibr1	3	3	16	0	3	3	4	3	4	0	3	2	3	2	4	6	30	1	0	6	0	2	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	33	28	46	0	0	0	13	3	0	1	6	170	0	0	0	0	0	20	19	21	3	11	3	10	2	0	0	0	0	0	2	0	0	0	0	2	0	0	2	18	0	2	0	10	2	0	0	0	0	0	0
Suicot1	3	3	24	7	2	2	3	4	4	30	3	6	7	8	7	9	52	2	1	9	149	2	3	6	1	1	3	2	1	1	1	4	1	5	1	3	3	4	2	61	14	78	117	13	13	20	1	1	2	6	217	2	3	1	1	2	27	25	27	4	13	7	5	8	3	32	6	9	2	2	12	6	34	4	3	1	1	2	21	1	2	2	9	3	2	26	2	3	1	45
Suidec1	3	3	22	0	3	3	4	3	4	0	3	2	3	2	3	11	30	1	0	11	0	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	3	2	34	21	42	0	0	0	18	3	0	1	5	168	0	0	0	0	0	23	24	23	2	11	5	8	3	0	0	0	0	0	2	0	0	0	0	1	0	0	3	18	0	2	0	12	1	0	0	0	0	0	0
Suifus1	3	3	18	5	3	4	4	3	7	31	3	2	2	7	4	9	63	1	1	8	62	2	3	6	1	1	3	2	1	1	1	3	1	5	1	3	3	4	2	46	21	70	96	16	17	22	2	1	0	4	222	1	3	1	1	2	23	26	24	5	10	6	6	2	3	24	2	4	2	2	16	2	19	3	2	1	1	3	18	1	2	2	8	2	2	32	2	3	1	35
Suihi1	3	3	15	0	3	3	5	3	5	0	3	2	2	2	4	7	35	1	0	7	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	32	20	39	0	0	0	21	2	0	1	6	193	0	0	0	0	0	22	23	21	5	10	5	7	1	0	0	0	0	0	2	0	0	0	0	2	0	0	5	18	0	2	0	8	2	0	0	0	0	0	0
Suilu4	3	3	16	4	3	3	4	2	4	30	3	2	2	7	4	7	47	1	1	7	55	4	3	6	1	1	3	2	1	1	1	3	1	5	1	2	2	6	2	37	21	61	73	11	11	17	3	1	1	5	166	1	3	1	1	2	21	19	19	5	10	3	7	3	3	26	4	7	2	2	8	4	16	3	2	1	1	2	18	1	3	3	8	2	2	19	2	3	1	35
Suiocc1	4	4	18	4	3	4	4	1	4	26	3	4	4	7	4	6	43	1	0	8	107	4	4	8	1	1	4	2	1	1	1	4	1	5	1	2	2	4	2	35	23	65	69	12	11	14	2	1	1	5	162	1	3	2	1	2	19	20	18	3	9	4	7	2	4	28	4	5	2	1	8	4	19	3	3	1	1	3	15	1	2	2	10	3	2	20	2	3	1	43
Suisu1	3	3	19	7	3	4	5	2	4	30	3	2	2	6	4	8	52	2	1	12	108	4	3	6	1	1	3	2	1	1	1	4	1	6	1	2	2	4	2	42	18	69	92	14	14	20	3	1	1	5	192	2	3	1	1	2	22	22	22	5	11	4	7	3	5	26	3	10	2	2	12	3	37	4	2	1	1	4	21	1	2	2	12	2	2	34	2	3	1	35
Suitom1	3	3	17	6	3	4	5	3	5	31	3	2	2	7	4	8	62	1	1	7	64	2	3	6	1	1	4	2	1	1	1	3	1	4	1	2	2	4	2	41	18	66	80	4	4	16	2	1	1	5	196	1	5	1	1	2	20	21	20	7	11	5	9	1	4	22	2	6	2	2	14	2	22	3	2	1	1	2	18	1	2	2	9	2	2	28	1	3	1	27
Suivar1	3	3	17	4	3	4	5	2	4	24	2	2	2	7	4	9	60	1	1	7	107	2	3	6	1	1	4	2	1	1	1	3	1	4	1	3	3	4	2	40	17	63	79	12	13	21	2	1	0	6	189	1	3	1	1	2	27	26	26	5	12	7	5	1	4	20	2	5	2	2	14	2	29	3	2	1	1	4	18	1	2	2	6	2	3	28	3	3	1	24
