3'-5' exonuclease	5'-Nucleotidase and apyrase	Actin-binding WH2	Acyl-CoA oxidase/dehydrogenase, type 1	Anaphase-promoting complex, subunit 10	AT-rich interaction region	Blood coagulation inhibitor, Disintegrin	C-type lectin	Caleosin related	Carbohydrate/purine kinase	CD9/CD37/CD63 antigen	Chitin-binding, type 1	Chloride channel, core	Chorismate mutase of the AroQ class, eukaryotic type	Cof protein	Cullin repeat-like	Cullin, N-terminal region	Cytochrome c oxidase assembly protein CtaG/Cox11	Deoxyhypusine synthase	Diaphanous GTPase-binding	Dihydroneopterin aldolase	DNA polymerase alpha, subunit B	DNA topoisomerase, type IA, core	DNA topoisomerase, type IA, DNA-binding	EGF-like, type 3	Endoplasmic reticulum oxidoreductin 1	Exonuclease, RNase T and DNA polymerase III	Folylpolyglutamate synthetase	G-protein, gamma subunit	GAF	Galactose oxidase/kelch, beta-propeller	Glutamine synthetase, beta-Grasp	Glutaredoxin active site	Glutaredoxin subgroup	Glycoside hydrolase, family 37	Glycoside hydrolase, family 47	GRAM	Helicase and RNase D C-terminal, HRDC	HhH-GPD	Inositol polyphosphate related phosphatase	Lipase, active site	Lipase, GDXG, active site	Macrophage migration inhibitory factor	Malate dehydrogenase, active site	Mannose-6-phosphate isomerase, type II, C-terminal	Metal-dependent protein hydrolase	MPPN	Nickel/cobalt transporter, high-affinity	Orotate phosphoribosyl transferase	Parvalbumin	Peptidase M12B, ADAM/reprolysin	Peptidyl-tRNA hydrolase, PTH2	Phenylalanine ammonia-lyase	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	Phosphomethylpyrimidine kinase type-2	Predicted pyridoxal phosphate-dependent enzyme, YBL036C type	Preprotein translocase Sec, Sec61-beta subunit, eukarya	Protein of unknown function DUF455	Protein of unknown function DUF941	Protein of unknown function UPF0012, conserved site	Protein of unknown function UPF0029, N-terminal	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Pseudouridine synthase	Purple acid phosphatase-like, N-terminal	Rad21/Rec8 like protein, C-terminal	Rare lipoprotein A	Region of unknown function DUF1744	Region of unknown function DUF1746, fungi	Ribonuclease HII	Ribonuclease HII/HIII	Ribosomal protein L13	Ribosomal protein S10	Ribosomal protein S16	Ribosomal protein S3, C-terminal	Rieske iron-sulphur protein, C-terminal	S-adenosylmethionine decarboxylase	Signal transduction response regulator, pH-responsive, PalI/Rim9	SIT4 phosphatase-associated protein	Squalene/phytoene synthase	Tetratricopeptide TPR2	Thaumatin, pathogenesis-related	TOPRIM	Toprim subdomain	Transcription initiation Spt4	Tubulin	Ubiquitin interacting motif	Urease, alpha subunit	Xeroderma pigmentosum group G protein	Yeast 2-isopropylmalate synthase	Yip1 domain
Suibov1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	6	2	0	0	2	8	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	2	0	1	0	0	2	8	0	0	0	1	0	15	1	0	0	1
Suibr1	0	0	5	7	1	9	0	0	0	3	1	1	4	2	3	4	6	2	3	1	1	1	0	0	1	3	0	3	1	1	14	4	0	1	6	12	4	0	8	4	16	3	0	1	1	2	0	0	1	0	0	3	1	1	1	2	1	0	1	0	2	2	3	0	1	3	0	0	0	0	8	8	4	2	4	4	3	1	3	17	8	0	0	1	10	17	4	1	0	3
Suicot1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	7	2	0	0	4	12	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	2	12	0	0	0	1	5	15	2	0	0	1
Suidec1	5	0	5	7	1	10	0	0	0	3	1	1	4	2	2	4	4	2	3	1	0	1	3	1	1	3	7	4	1	1	14	4	0	2	6	12	4	2	9	4	14	4	0	1	1	2	0	0	1	0	0	3	1	1	1	1	0	0	0	0	1	3	3	0	1	4	1	0	1	1	7	8	4	2	4	3	3	1	3	16	13	1	1	2	10	15	4	0	1	3
Suifus1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	8	2	0	0	2	8	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	10	0	0	0	1	0	10	1	0	0	1
Suihi1	6	0	5	7	1	10	0	0	0	3	1	1	4	2	2	4	4	2	3	1	0	1	3	1	1	3	7	3	1	1	14	0	0	1	6	12	2	2	8	4	15	4	0	1	1	2	0	0	0	0	0	3	1	1	1	1	1	0	1	0	2	2	3	0	1	3	1	0	1	1	9	8	4	2	3	4	3	1	3	16	3	1	1	2	10	18	4	1	1	3
Suilu4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	7	2	0	0	4	12	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	2	9	0	0	0	1	5	14	2	0	0	1
Suiocc1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	7	2	0	0	4	10	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	7	0	0	0	1	0	14	1	0	0	2
Suisu1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	9	2	0	1	4	12	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	2	11	0	0	0	1	5	14	1	0	0	1
Suitom1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	10	2	0	1	4	12	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	2	8	0	0	0	1	5	10	2	0	0	1
