SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suiame1|1000008|estExt_fgenesh1_pg.C_360012,478,3,IN,3,IN,R,R,R,R,G,G,R
jgi|Suiame1|1000020|estExt_fgenesh1_pg.C_360027,361,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000046|estExt_fgenesh1_pg.C_360060,813,1,IN,3,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000050|estExt_fgenesh1_pg.C_360064,249,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000079|estExt_fgenesh1_pg.C_370020,220,1,OUT,1,OUT,R,R,R,R,G,R,R
jgi|Suiame1|1000081|estExt_fgenesh1_pg.C_370022,518,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000086|estExt_fgenesh1_pg.C_370032,295,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000129|estExt_fgenesh1_pg.C_380020,306,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000181|estExt_fgenesh1_pg.C_390005,543,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000224|estExt_fgenesh1_pg.C_390052,459,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000264|estExt_fgenesh1_pg.C_400012,301,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000304|estExt_fgenesh1_pg.C_400055,524,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000323|estExt_fgenesh1_pg.C_400074,429,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000373|estExt_fgenesh1_pg.C_410057,144,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000375|estExt_fgenesh1_pg.C_410059,1103,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000381|estExt_fgenesh1_pg.C_420001,285,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000402|estExt_fgenesh1_pg.C_420037,507,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000438|estExt_fgenesh1_pg.C_420077,538,0,OUT,0,OUT,R,R,R,R,G,G,R
jgi|Suiame1|1000450|estExt_fgenesh1_pg.C_430009,375,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000460|estExt_fgenesh1_pg.C_430023,474,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000502|estExt_fgenesh1_pg.C_440022,164,0,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suiame1|1000511|estExt_fgenesh1_pg.C_440031,152,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suiame1|1000520|estExt_fgenesh1_pg.C_440040,570,10,OUT,12,IN,R,R,R,R,G,G,G
jgi|Suiame1|1000553|estExt_fgenesh1_pg.C_450007,446,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000594|estExt_fgenesh1_pg.C_460009,877,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000610|estExt_fgenesh1_pg.C_460025,299,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000615|estExt_fgenesh1_pg.C_460030,383,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000641|estExt_fgenesh1_pg.C_460060,318,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000646|estExt_fgenesh1_pg.C_470005,157,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000654|estExt_fgenesh1_pg.C_470013,502,12,IN,12,IN,R,R,R,R,R,G,G
jgi|Suiame1|1000655|estExt_fgenesh1_pg.C_470014,811,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000673|estExt_fgenesh1_pg.C_470032,159,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000692|estExt_fgenesh1_pg.C_470057,769,7,OUT,9,OUT,R,R,R,R,G,G,G
jgi|Suiame1|1000702|estExt_fgenesh1_pg.C_470071,165,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000713|estExt_fgenesh1_pg.C_480013,656,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000721|estExt_fgenesh1_pg.C_480027,342,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000725|estExt_fgenesh1_pg.C_480031,152,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000754|estExt_fgenesh1_pg.C_480063,166,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000768|estExt_fgenesh1_pg.C_490010,545,8,IN,12,IN,R,R,R,R,R,R,G
jgi|Suiame1|1000777|estExt_fgenesh1_pg.C_490020,129,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000786|estExt_fgenesh1_pg.C_490029,289,5,IN,6,OUT,R,R,R,R,G,G,G
jgi|Suiame1|1000788|estExt_fgenesh1_pg.C_490031,321,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000794|estExt_fgenesh1_pg.C_490038,876,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000801|estExt_fgenesh1_pg.C_490048,174,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000820|estExt_fgenesh1_pg.C_490067,313,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000825|estExt_fgenesh1_pg.C_500005,128,1,IN,2,IN,R,R,R,R,R,R,G
jgi|Suiame1|1000840|estExt_fgenesh1_pg.C_500023,1168,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000846|estExt_fgenesh1_pg.C_500030,528,1,IN,3,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000851|estExt_fgenesh1_pg.C_500035,244,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000879|estExt_fgenesh1_pg.C_500066,423,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000905|estExt_fgenesh1_pg.C_510018,173,0,OUT,2,OUT,R,R,R,R,G,R,R
jgi|Suiame1|1000917|estExt_fgenesh1_pg.C_510032,184,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000929|estExt_fgenesh1_pg.C_510044,159,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000933|estExt_fgenesh1_pg.C_510048,300,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000942|estExt_fgenesh1_pg.C_510062,630,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000966|estExt_fgenesh1_pg.C_520015,596,2,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suiame1|1000993|estExt_fgenesh1_pg.C_520045,423,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1000996|estExt_fgenesh1_pg.C_520048,343,4,IN,5,OUT,R,R,R,R,R,R,G
jgi|Suiame1|1001030|estExt_fgenesh1_pg.C_530019,1781,2,OUT,1,IN,R,R,R,R,R,G,R
jgi|Suiame1|1001036|estExt_fgenesh1_pg.C_530027,282,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001061|estExt_fgenesh1_pg.C_540012,110,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001063|estExt_fgenesh1_pg.C_540014,215,4,OUT,4,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001068|estExt_fgenesh1_pg.C_540019,428,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001070|estExt_fgenesh1_pg.C_540021,472,12,IN,12,IN,R,R,R,R,R,G,G
jgi|Suiame1|1001089|estExt_fgenesh1_pg.C_540042,162,1,IN,1,IN,R,R,R,R,R,R,G
jgi|Suiame1|1001109|estExt_fgenesh1_pg.C_550020,582,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001132|estExt_fgenesh1_pg.C_550043,156,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001135|estExt_fgenesh1_pg.C_550046,323,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001181|estExt_fgenesh1_pg.C_560043,382,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001219|estExt_fgenesh1_pg.C_570007,125,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001230|estExt_fgenesh1_pg.C_570020,335,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001256|estExt_fgenesh1_pg.C_570051,275,1,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Suiame1|1001274|estExt_fgenesh1_pg.C_580011,203,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suiame1|1001301|estExt_fgenesh1_pg.C_580042,476,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001310|estExt_fgenesh1_pg.C_590002,259,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001311|estExt_fgenesh1_pg.C_590003,249,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001328|estExt_fgenesh1_pg.C_590033,293,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001347|estExt_fgenesh1_pg.C_600022,292,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001367|estExt_fgenesh1_pg.C_600047,239,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiame1|1001395|estExt_fgenesh1_pg.C_610029,264,4,IN,5,IN,R,R,R,R,G,G,G
jgi|Suiame1|1001432|estExt_fgenesh1_pg.C_620027,315,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001453|estExt_fgenesh1_pg.C_620053,307,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001482|estExt_fgenesh1_pg.C_630041,365,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiame1|1001510|estExt_fgenesh1_pg.C_640025,314,5,OUT,5,IN,R,R,R,R,G,G,G
jgi|Suiame1|1001514|estExt_fgenesh1_pg.C_640030,325,0,OUT,0,OUT,R,R,R,R,R,R,R
