SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suibov1|101182|CE101181_2534,336,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|101601|CE101600_1224,270,2,IN,2,IN,R,R,R,R,R,R,R
jgi|Suibov1|101791|CE101790_7651,188,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|101819|CE101818_5270,253,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|102145|CE102144_10730,674,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|102158|CE102157_1725,272,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|102367|CE102366_1824,152,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|102430|CE102429_296,85,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|102462|CE102461_3131,443,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|102546|CE102545_1238,361,7,OUT,9,OUT,R,R,R,R,R,R,G
jgi|Suibov1|10269|CE10268_30386,299,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|102825|CE102824_59450,447,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1039871|gw1.81.1.1,97,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1039930|gw1.19.4.1,72,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040022|gw1.75.7.1,301,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040086|gw1.2.4.1,60,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|1040113|gw1.30.12.1,281,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040144|gw1.6.15.1,158,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|1040169|gw1.19.12.1,231,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040198|gw1.145.2.1,89,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibov1|1040219|gw1.59.5.1,92,0,OUT,1,IN,R,R,R,R,G,R,R
jgi|Suibov1|1040230|gw1.51.4.1,55,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040253|gw1.86.4.1,85,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040376|gw1.4.16.1,59,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040426|gw1.44.7.1,218,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040430|gw1.9.34.1,255,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|1040616|gw1.41.11.1,92,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040768|gw1.20.2.1,75,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suibov1|1040874|gw1.112.11.1,57,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1040951|gw1.112.14.1,193,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibov1|1041085|gw1.63.19.1,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041165|gw1.17.17.1,90,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibov1|1041264|gw1.6.57.1,203,1,OUT,0,OUT,R,R,R,R,G,R,G
jgi|Suibov1|1041297|gw1.86.17.1,116,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041398|gw1.48.1.1,84,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibov1|1041438|gw1.62.20.1,64,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041451|gw1.132.7.1,74,1,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suibov1|1041471|gw1.81.16.1,79,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041500|gw1.1.106.1,80,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|1041555|gw1.63.26.1,204,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041621|gw1.22.46.1,83,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041624|gw1.86.21.1,193,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suibov1|1041834|gw1.64.14.1,70,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041882|gw1.13.12.1,58,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1041992|gw1.41.39.1,64,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|1042073|gw1.6.93.1,327,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042193|gw1.64.16.1,50,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042340|gw1.21.20.1,82,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Suibov1|1042353|gw1.3.55.1,71,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042389|gw1.139.11.1,117,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042447|gw1.41.48.1,182,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suibov1|1042606|gw1.41.53.1,107,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042619|gw1.76.23.1,178,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042642|gw1.1.173.1,621,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042761|gw1.2.62.1,109,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042821|gw1.58.55.1,61,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibov1|1042824|gw1.1.181.1,133,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042835|gw1.22.90.1,204,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042901|gw1.1.183.1,86,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1042960|gw1.4.67.1,91,0,OUT,0,OUT,R,R,R,R,G,R,G
jgi|Suibov1|104315|CE104314_4247,344,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1043164|gw1.24.39.1,108,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibov1|1043262|gw1.13.22.1,88,1,OUT,2,OUT,R,R,R,R,R,R,G
