SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Hyssto1|100003|gm1.21480_g,268,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100022|gm1.21499_g,326,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100024|gm1.21501_g,242,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100025|gm1.21502_g,524,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100034|gm1.21511_g,467,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100040|gm1.21517_g,327,5,OUT,4,OUT,R,R,R,R,G,G,G
jgi|Hyssto1|100044|gm1.21521_g,1999,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100054|gm1.21531_g,170,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100056|gm1.21533_g,300,3,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Hyssto1|100057|gm1.21534_g,143,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100059|gm1.21536_g,618,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100060|gm1.21537_g,223,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100062|gm1.21539_g,141,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100063|gm1.21540_g,204,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100064|gm1.21541_g,127,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100067|gm1.21544_g,827,2,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100073|gm1.21550_g,791,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100075|gm1.21552_g,257,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100076|gm1.21553_g,183,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100077|gm1.21554_g,229,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100083|gm1.21560_g,182,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100084|gm1.21561_g,438,2,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100086|gm1.21563_g,716,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100096|gm1.21573_g,144,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100098|gm1.21575_g,436,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100099|gm1.21576_g,432,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Hyssto1|100116|gm1.21593_g,515,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100136|gm1.21613_g,306,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100143|gm1.21620_g,498,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100145|gm1.21622_g,320,1,OUT,3,OUT,R,R,R,R,G,G,G
jgi|Hyssto1|100148|gm1.21625_g,1196,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hyssto1|100149|gm1.21626_g,279,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hyssto1|100150|gm1.21627_g,1783,0,OUT,0,OUT,R,R,R,R,R,R,R
