SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suiocc1|1000000|MIX16072_1_9,236,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000002|MIX16074_424_48,388,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000037|MIX16109_203_27,532,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000042|MIX16114_9_9,428,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000049|MIX16121_37_25,543,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000058|MIX16130_592_61,380,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000165|MIX16237_13_21,517,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000332|MIX16404_51_44,291,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000340|MIX16412_2_7,412,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000346|MIX16418_82_34,532,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000349|MIX16421_2_6,638,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000351|MIX16423_1_18,87,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000353|MIX16425_2_21,282,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000362|MIX16434_9_20,296,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000363|MIX16435_2_7,471,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000392|MIX16464_1_18,174,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Suiocc1|1000394|MIX16466_11_5,667,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000397|MIX16469_3_23,228,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000508|MIX16580_1785_98,161,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000524|MIX16596_5137_34,490,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000732|MIX16804_668_39,283,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000798|MIX16870_5_29,141,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000828|MIX16900_21_22,332,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000936|MIX17008_3_32,177,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000945|MIX17017_140_15,1120,1,OUT,3,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1000960|MIX17032_104_24,456,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1000997|MIX17069_2_26,213,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1001005|MIX17077_35_16,568,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1001102|MIX17174_92_97,272,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1001124|MIX17196_119_50,222,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1001178|MIX17250_593_77,380,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|100123|CE100122_6704,779,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1001278|MIX17350_663_63,1068,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suiocc1|1001292|MIX17364_846_32,637,11,OUT,11,OUT,R,R,R,R,G,G,G
jgi|Suiocc1|1001323|MIX17395_332_36,220,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suiocc1|1001353|MIX17425_1407_39,294,0,OUT,1,IN,R,R,R,R,R,R,R
