SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suicot1|1000679|CE1000678_2123,191,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1000754|CE1000753_195,137,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1000917|CE1000916_247,75,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Suicot1|1000988|CE1000987_2959,247,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1001203|CE1001202_364,193,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1001206|CE1001205_1236,562,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1002|CE1001_659,293,1,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suicot1|1003031|CE1003030_109,78,1,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suicot1|1003036|CE1003035_11139,1566,0,OUT,4,IN,R,R,R,R,R,R,R
jgi|Suicot1|1003262|CE1003261_2099,933,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1003346|CE1003345_1361,326,0,OUT,1,OUT,R,R,R,R,G,R,R
jgi|Suicot1|1003390|CE1003389_6546,599,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1003488|CE1003487_9222,631,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1004016|CE1004015_289,160,2,IN,3,OUT,R,R,R,R,R,R,G
jgi|Suicot1|1004111|CE1004110_2281,514,9,OUT,10,IN,R,R,R,R,G,G,G
jgi|Suicot1|1004222|CE1004221_177,464,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1004630|CE1004629_6284,990,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1005149|CE1005148_175,286,7,OUT,6,OUT,R,R,R,R,G,G,G
jgi|Suicot1|1005303|CE1005302_1027,180,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Suicot1|1005383|CE1005382_5812,596,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1005486|CE1005485_12,74,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1005957|CE1005956_15331,338,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suicot1|1006287|CE1006286_2360,527,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1006461|CE1006460_3044,346,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1006549|CE1006548_537,220,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1006841|CE1006840_9849,417,1,IN,1,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1007192|CE1007191_8816,748,1,OUT,1,IN,R,R,R,R,R,G,R
jgi|Suicot1|1007563|CE1007562_2459,348,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1008092|CE1008091_2084,236,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1008095|CE1008094_8453,658,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1008285|CE1008284_2861,244,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1008320|CE1008319_3826,592,0,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1008458|CE1008457_3387,563,2,IN,3,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1009031|CE1009030_3822,915,5,IN,6,OUT,R,R,R,R,G,G,R
jgi|Suicot1|1009181|CE1009180_691,287,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1009214|CE1009213_4436,371,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1009227|CE1009226_928,294,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1009414|CE1009413_6368,149,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1009581|CE1009580_3858,199,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1009662|CE1009661_2208,422,7,IN,7,IN,R,R,R,R,G,G,G
jgi|Suicot1|1009854|CE1009853_918,136,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1010227|CE1010226_1878,691,1,OUT,5,OUT,R,R,R,R,G,G,R
jgi|Suicot1|1010395|CE1010394_979,251,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1010438|CE1010437_1094,484,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suicot1|1010587|CE1010586_1611,241,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1010630|CE1010629_1561,623,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1011055|CE1011054_2467,321,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suicot1|1011323|CE1011322_5743,270,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1011464|CE1011463_1025,448,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1011726|CE1011725_1689,151,0,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Suicot1|1011729|CE1011728_5756,525,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Suicot1|1012026|CE1012025_402,261,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1012080|CE1012079_870,111,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1012094|CE1012093_1434,298,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1012113|CE1012112_6052,581,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1012747|CE1012746_2209,107,2,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Suicot1|1013197|CE1013196_10693,135,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1013814|CE1013813_590,262,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1013968|CE1013967_5451,298,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1014120|CE1014119_917,299,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1014500|CE1014499_11251,205,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1014653|CE1014652_4961,441,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1015638|CE1015637_41693,151,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suicot1|1015704|CE1015703_362,511,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1015720|CE1015719_1906,518,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1015729|CE1015728_8295,395,8,IN,10,IN,R,R,R,R,G,G,G
jgi|Suicot1|1015779|CE1015778_5699,169,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suicot1|101582|CE101581_79,281,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1016707|CE1016706_4076,592,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Suicot1|1016877|CE1016876_3358,650,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1016998|CE1016997_633,439,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1017003|CE1017002_52,93,2,OUT,2,OUT,R,R,R,R,G,R,G
jgi|Suicot1|1017095|CE1017094_309,411,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1017184|CE1017183_4933,791,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicot1|1017209|CE1017208_210,156,3,OUT,2,OUT,R,R,R,R,G,R,R
jgi|Suicot1|101725|CE101724_1315,184,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suicot1|1017564|CE1017563_1061,1085,0,OUT,0,OUT,R,R,R,R,R,R,R
