6-phosphogluconate dehydrogenase, C-terminal-like	Acetohydroxy acid isomeroreductase	Acetohydroxy acid isomeroreductase C-terminal	Acireductone dioxygenase ARD family	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain	Alcohol dehydrogenase GroES-like	Alcohol dehydrogenase, C-terminal	Alcohol dehydrogenase, iron-type, conserved site	Alcohol dehydrogenase, zinc-type, conserved site	Aldehyde dehydrogenase domain	Aldehyde dehydrogenase NAD(P)-dependent	Aldehyde dehydrogenase, cysteine active site	Aldehyde dehydrogenase, glutamic acid active site	Aldehyde/histidinol dehydrogenase	Aldo/keto reductase, conserved site	Alpha-hydroxy acid dehydrogenase, FMN-dependent	Catalase core domain	Catalase-like domain	Catalase, mono-functional, haem-containing	Catalase, mono-functional, haem-containing, clade 2	Catalase, mono-functional, haem-containing, clades 1 and 3	Copper amine oxidase, N-terminal	Cytochrome P450, conserved site	D-amino acid oxidase, conserved site	Dihydrofolate reductase conserved site	Dihydrofolate reductase domain	Dihydroorotate dehydrogenase, class 1/ 2	Dihydroorotate dehydrogenase, conserved site	ERV/ALR sulfhydryl oxidase domain	FAD-binding 8	Ferredoxin reductase-type FAD-binding domain	Ferredoxin-NADP+ reductase, adrenodoxin-type	Ferric reductase, NAD binding	FMN-dependent alpha-hydroxy acid dehydrogenase, active site	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal	Fumarate reductase/succinate dehydrogenase, FAD-binding site	Glucose-6-phosphate dehydrogenase, active site	Glucose-6-phosphate dehydrogenase, C-terminal	Glucose-6-phosphate dehydrogenase, NAD-binding	Glucose-methanol-choline oxidoreductase	Glucose-methanol-choline oxidoreductase, N-terminal	Glutamate synthase domain	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	Glutathione reductase, eukaryote/bacterial	Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal	Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal	Glycine cleavage system P protein, homodimeric	Histidinol dehydrogenase, conserved site	Homoserine dehydrogenase, conserved site	Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain	Isocitrate dehydrogenase NAD-dependent	Isocitrate dehydrogenase NADP-dependent	Isopropylmalate dehydrogenase	Ketol-acid reductoisomerase, fungi	Lactate/malate dehydrogenase, C-terminal	Malic enzyme, N-terminal domain	Manganese/iron superoxide dismutase, C-terminal	Multicopper oxidase, type 1	Multicopper oxidase, type 2	N-acetyl-gamma-glutamyl-phosphate reductase, active site	NAD-dependent glutamate dehydrogenase, eukaryotes	NAD(P) transhydrogenase, alpha subunit	NADH dehydrogenase, subunit C	NADH ubiquinone oxidoreductase, F subunit	NADH-ubiquinone oxidoreductase, 20 Kd subunit	NADH:ubiquinone oxidoreductase-like, 20kDa subunit	NADH:ubiquinone oxidoreductase, 30kDa subunit	NADH:ubiquinone oxidoreductase, 30kDa subunit, conserved site	NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site	NADP transhydrogenase, beta subunit	NADPH-cytochrome P450 reductase	Nitrite reductase [NAD(P)H] small subunit, NirD	Nitrite/Sulfite reductase ferredoxin-like domain	Nitrite/sulphite reductase 4Fe-4S domain	Nitrite/sulphite reductase iron-sulphur/sirohaem-binding site	Oxoglutarate/iron-dependent dioxygenase	Oxoglutarate/iron-dependent oxygenase, C-terminal degradation domain	Peptide methionine sulphoxide reductase MsrA	Peroxiredoxin, C-terminal	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain	Pyruvate-flavodoxin oxidoreductase, central domain	Ribonucleotide reductase, class I , alpha subunit	Sirohaem synthase, N-terminal	Squalene epoxidase	Sterol reductase, conserved site	Succinate dehydrogenase, flavoprotein subunit	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	Thioredoxin reductase	tRNA-dihydrouridine synthase, conserved site
Suibov1	18	3	3	2	10	23	28	1	8	21	4	8	17	22	25	6	6	3	3	1	2	3	84	2	1	2	3	3	6	12	22	1	13	4	4	1	1	1	1	15	41	1	4	1	1	1	1	1	1	1	2	2	1	3	2	3	6	16	16	1	2	1	1	1	2	1	1	1	2	1	1	1	5	3	1	39	1	3	2	1	12	1	1	3	4	3	2	2	2	2	4
Suibr1	16	3	3	0	0	27	0	0	0	0	4	0	0	18	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	9	4	2	2	0	0	0	11	43	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	2	0
Suicot1	24	2	2	6	15	29	33	1	8	42	4	23	31	45	30	8	4	2	4	1	1	3	130	1	1	2	3	3	6	26	33	1	20	5	4	2	1	1	1	20	53	1	0	1	1	1	1	1	1	3	2	4	1	1	3	3	8	27	25	1	0	1	1	1	2	1	1	1	4	1	1	1	4	2	4	42	1	3	2	3	14	1	1	3	2	3	2	2	4	3	4
Suidec1	22	3	3	0	0	33	0	0	0	0	4	0	0	24	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	11	5	3	2	0	0	0	15	39	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	23	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	1	0
Suifus1	18	3	4	3	12	33	37	1	8	28	7	9	16	31	31	7	8	4	4	1	2	3	147	1	1	2	4	3	6	15	27	1	17	5	4	2	1	1	1	18	50	1	4	1	1	1	1	1	1	3	2	2	1	2	2	3	10	23	26	1	2	1	1	1	2	1	1	1	2	1	1	2	6	3	3	46	1	3	2	2	13	1	2	6	3	5	2	2	2	2	4
Suihi1	15	3	3	0	0	29	0	0	0	0	5	0	0	34	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	0	10	5	2	2	0	0	0	20	49	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	2	0	0	2	0
Suilu4	16	3	3	3	10	27	28	0	10	17	4	8	13	18	30	7	6	3	6	1	2	3	77	1	1	2	3	3	12	9	17	1	11	5	6	2	1	1	1	16	40	1	4	1	1	1	1	1	1	1	2	2	1	3	3	4	8	21	19	1	2	1	1	1	2	1	1	1	2	2	1	1	4	2	4	35	1	3	2	2	13	1	1	4	2	3	3	3	2	2	4
Suiocc1	18	3	4	3	11	25	24	0	10	19	4	8	14	21	26	7	6	3	3	1	2	3	67	1	1	2	3	3	9	9	17	1	10	5	4	2	1	1	1	14	37	1	4	1	1	1	1	2	1	1	3	2	1	2	2	4	8	19	20	1	2	1	1	1	2	1	1	1	2	3	1	1	8	4	2	37	1	2	2	3	14	1	1	4	3	3	2	2	2	3	4
Suisu1	19	3	4	3	11	36	36	2	8	23	4	10	15	24	30	6	6	3	6	1	1	3	152	1	1	2	3	3	3	12	19	1	17	5	4	2	1	1	1	16	43	1	4	1	1	1	1	1	0	2	3	2	1	3	2	3	6	22	22	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	4	39	1	3	2	2	12	1	1	3	4	2	2	2	2	2	4
Suitom1	17	3	4	3	15	25	29	1	8	31	5	9	18	35	31	7	8	4	8	1	3	4	136	3	1	2	4	3	6	12	19	1	13	5	4	2	1	1	1	24	59	2	4	1	1	1	1	1	1	1	2	2	1	2	2	3	8	20	21	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	4	43	1	3	2	2	13	1	2	3	2	5	2	2	2	2	4
Suivar1	17	3	4	4	16	30	30	1	10	24	4	9	16	28	24	7	6	3	3	1	2	3	126	2	1	2	4	1	6	12	23	1	15	5	4	2	1	1	1	19	46	1	4	1	1	1	1	1	1	1	2	2	1	2	2	6	6	27	26	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	2	46	1	3	2	2	14	1	1	3	4	3	2	2	2	2	4
Suiame1	19	3	4	3	12	33	34	1	8	23	5	8	18	25	29	6	6	3	6	1	2	3	105	1	1	2	3	3	6	9	16	1	11	5	4	2	1	1	1	16	52	1	4	1	1	1	1	1	1	1	2	2	1	3	2	3	10	21	21	1	2	1	1	1	2	1	1	1	2	1	1	1	7	4	6	42	1	3	2	2	11	1	1	3	6	3	2	2	2	2	4
Suidis1	17	3	3	2	13	26	29	2	8	31	5	8	19	32	28	7	8	4	4	1	3	3	144	1	1	2	3	3	6	11	22	1	12	5	4	2	1	1	1	20	50	1	4	1	1	1	1	1	1	1	2	2	1	2	2	3	6	22	23	1	2	1	1	1	2	1	1	1	2	1	1	1	6	2	2	41	1	3	2	2	12	1	1	3	4	3	2	2	2	2	4
Suipic1	25	3	3	2	12	32	33	1	9	31	4	11	17	33	24	7	5	3	4	1	1	3	98	2	1	2	3	3	6	13	19	1	14	5	4	1	1	1	1	15	38	1	6	1	1	1	1	1	1	1	2	2	1	2	3	3	6	16	15	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	4	44	1	3	2	2	14	1	1	4	6	3	2	2	2	2	4
Suipla1	17	3	3	3	10	25	29	1	9	17	4	9	14	18	27	7	6	3	3	1	2	3	77	1	1	2	3	3	6	10	17	1	10	5	4	2	1	1	1	11	29	1	4	1	1	1	1	1	1	1	2	2	1	3	2	3	10	23	23	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	2	32	1	3	3	3	12	1	1	3	3	3	2	2	2	2	5
Suiplo1	17	3	3	2	13	26	31	1	8	26	6	8	16	28	28	7	8	4	4	1	3	3	125	2	1	2	3	3	6	14	23	1	14	5	4	2	1	1	1	23	54	1	6	1	1	1	1	1	1	1	2	2	1	3	2	3	8	23	23	1	2	1	1	1	2	1	1	1	2	2	1	1	5	2	2	42	1	3	2	2	13	1	1	3	6	3	2	2	2	2	4
Suisubl1	18	4	4	3	12	38	39	2	10	37	5	10	19	39	33	7	6	3	3	1	2	3	152	1	1	2	3	3	6	14	21	1	15	5	4	2	1	1	1	21	53	2	4	1	1	1	1	1	1	2	2	2	1	4	2	3	8	28	31	1	2	1	1	1	2	1	1	1	2	3	1	1	4	2	3	43	1	3	2	2	12	1	1	3	3	4	2	2	2	2	5
Suiamp1	16	2	2	1	10	31	35	1	7	22	4	11	17	23	31	9	6	3	3	1	2	3	123	3	1	2	3	3	6	16	25	1	13	6	4	2	1	1	1	20	51	1	4	0	1	1	1	1	0	1	2	2	1	2	2	2	6	15	15	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	2	42	1	6	2	1	10	1	1	3	5	3	2	2	2	0	2
Suicli1	19	3	3	2	11	30	31	1	9	17	2	9	12	19	27	7	6	3	3	1	2	3	113	3	1	2	3	3	9	11	18	1	10	5	4	2	1	1	1	16	47	1	4	1	1	1	1	1	1	2	2	2	1	3	2	5	6	25	24	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	2	43	1	3	2	2	12	1	1	3	3	3	2	2	4	2	4
Suipal1	17	2	2	2	11	21	28	1	6	20	4	9	16	24	26	7	4	2	2	1	1	3	110	2	1	2	2	3	4	9	16	1	9	5	4	2	1	1	1	16	35	1	4	1	1	1	1	1	1	0	2	2	1	2	2	3	4	21	21	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	2	40	1	6	1	1	13	1	1	3	1	1	2	2	1	1	4
Suisub1	18	3	3	2	11	28	28	1	7	17	3	8	15	18	29	7	6	3	6	1	2	4	90	1	1	2	3	3	9	12	18	1	12	5	4	2	1	1	1	14	37	1	4	1	1	1	1	1	1	1	2	2	1	3	4	3	6	23	21	1	2	1	1	1	4	2	1	1	2	1	1	1	4	2	4	36	1	5	2	2	12	1	1	3	4	5	2	2	3	2	4
Suigr1	17	4	4	0	0	27	0	0	0	0	4	0	0	18	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	10	5	2	2	0	0	0	11	28	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	18	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	2	0	0	2	0
Suilak1	18	4	4	2	11	26	33	2	10	33	3	10	17	41	36	9	9	5	5	1	2	3	123	2	1	2	2	3	6	12	22	1	14	6	4	1	1	1	1	13	45	1	4	1	1	1	1	1	0	2	2	2	1	3	2	4	6	31	30	1	2	1	1	1	2	1	1	1	2	2	1	1	6	3	2	37	1	3	3	2	13	1	1	3	3	3	2	2	2	1	3
