SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Pismi1|691048|fgenesh1_kg.1055_#_3_#_Locus24390v2rpkm0.33,59,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|691041|fgenesh1_kg.1038_#_1_#_Locus11729v1rpkm4.81,95,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Pismi1|690995|fgenesh1_kg.968_#_2_#_Locus18662v5rpkm0.48,86,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|690987|fgenesh1_kg.947_#_1_#_Locus25088v1rpkm0.64,55,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|690968|fgenesh1_kg.903_#_1_#_Locus17431v1rpkm1.54,61,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|690909|fgenesh1_kg.824_#_1_#_Locus18625v1rpkm1.33,86,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|690905|fgenesh1_kg.815_#_2_#_Locus7603v3rpkm1.14_PRE,59,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|690906|fgenesh1_kg.815_#_3_#_Locus7603v6rpkm0.38_PRE,60,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|124433|e_gw1.1049.3.1,61,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|80185|gw1.877.2.1,76,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Pismi1|123556|e_gw1.657.4.1,83,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Pismi1|79419|gw1.656.11.1,58,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|124272|e_gw1.904.3.1,108,2,IN,3,OUT,R,R,R,R,G,R,G
jgi|Pismi1|690709|fgenesh1_kg.690_#_1_#_Pisolithus_microcarpus_c17232,52,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Pismi1|122832|e_gw1.550.16.1,77,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|74173|gw1.550.23.1,54,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|68034|gw1.734.9.1,161,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|59436|gw1.963.3.1,109,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|46418|gw1.777.4.1,170,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pismi1|124022|e_gw1.777.7.1,93,0,OUT,0,IN,R,R,R,R,R,R,G
