SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suipic1|1000212|CE1000211_2927,125,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suipic1|1000459|CE1000458_889,117,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suipic1|1000625|CE1000624_75,103,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1001578|CE1001577_366,125,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1001916|CE1001915_96243,100,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suipic1|1002346|CE1002345_3327,88,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suipic1|1002382|CE1002381_3302,238,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1004084|CE1004083_16,77,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipic1|1006212|CE1006211_1452,227,5,OUT,5,OUT,R,R,R,R,G,G,R
jgi|Suipic1|1007082|CE1007081_513,134,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipic1|1007793|CE1007792_90,140,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1007968|CE1007967_85,104,0,IN,0,OUT,R,R,R,R,G,R,G
jgi|Suipic1|1009890|CE1009889_13038,793,0,OUT,1,OUT,R,R,R,R,R,G,R
jgi|Suipic1|1010637|CE1010636_2165,109,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1010814|CE1010813_56,99,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1011301|CE1011300_463,101,0,OUT,0,IN,R,R,R,R,R,R,G
jgi|Suipic1|1011837|CE1011836_57,108,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1011929|CE1011928_1916,149,0,OUT,0,OUT,R,R,R,R,G,R,G
jgi|Suipic1|1011962|CE1011961_3077,516,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1011984|CE1011983_111,182,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1013307|CE1013306_1432,111,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipic1|1013712|CE1013711_2075,191,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1013882|CE1013881_391,315,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Suipic1|1014037|CE1014036_2061,397,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1014394|CE1014393_319,139,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1014689|CE1014688_754,232,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1015016|CE1015015_164,159,3,OUT,3,OUT,R,R,R,R,G,R,G
jgi|Suipic1|1015069|CE1015068_801,306,8,IN,7,OUT,R,R,R,R,G,G,G
jgi|Suipic1|1015613|CE1015612_39491,269,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipic1|1015857|CE1015856_183,136,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1017046|CE1017045_364,130,0,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Suipic1|1017418|CE1017417_1230,73,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1017541|CE1017540_1272,107,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1017564|CE1017563_24700,101,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipic1|1019061|CE1019060_455,90,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Suipic1|1019256|CE1019255_158,218,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suipic1|1019588|CE1019587_684,481,2,IN,5,IN,R,R,R,R,R,R,R
jgi|Suipic1|1019614|CE1019613_4666,481,1,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1019640|CE1019639_5068,481,1,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1020099|CE1020098_791,257,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1020194|CE1020193_400,295,6,OUT,8,OUT,R,R,R,R,G,G,G
jgi|Suipic1|1020249|CE1020248_197,154,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1020289|CE1020288_4244,240,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipic1|1020360|CE1020359_431,231,0,OUT,2,OUT,R,R,R,R,G,R,R
jgi|Suipic1|1020692|CE1020691_1203,440,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|102153|CE102152_57310,117,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1022327|CE1022326_16,156,2,IN,2,OUT,R,R,R,R,R,R,R
jgi|Suipic1|102286|CE102285_20239,633,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipic1|1023087|CE1023086_416,332,1,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1023246|CE1023245_10499,643,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1023803|CE1023802_27823,306,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipic1|1025026|CE1025025_1773,183,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suipic1|1025055|CE1025054_14,72,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|102510|CE102509_150,209,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1025497|CE1025496_7647,115,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|102550|CE102549_15162,64,1,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|102649|CE102648_2113,147,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1026955|CE1026954_94,167,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suipic1|1026978|CE1026977_13126,566,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1027150|CE1027149_557,93,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Suipic1|102776|CE102775_600,331,0,IN,2,IN,R,R,R,R,R,R,R
jgi|Suipic1|1028641|CE1028640_585,185,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1028914|CE1028913_1771,96,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1028943|CE1028942_1823,840,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1029197|CE1029196_26189,352,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|102965|CE102964_360,111,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1030989|CE1030988_2007,199,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1031019|CE1031018_315,129,0,OUT,0,OUT,R,R,R,R,G,R,G
jgi|Suipic1|1031122|CE1031121_2650,503,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1031161|CE1031160_363,330,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipic1|1031220|CE1031219_154,412,0,OUT,0,OUT,R,R,R,R,R,R,R
