SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suihi1|947609|fgenesh1_kg.3_#_402_#_Locus5108v3rpkm0.61_PRE,92,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suihi1|1002272|gm1.1422_g,431,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|947606|fgenesh1_kg.3_#_399_#_Locus4885v1rpkm33.77,550,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suihi1|947604|fgenesh1_kg.3_#_397_#_Locus1830v1rpkm99.86,346,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suihi1|1002269|gm1.1419_g,326,6,IN,5,OUT,R,R,R,R,G,G,G
jgi|Suihi1|1002268|gm1.1418_g,133,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|398127|CE398126_116,98,0,OUT,0,OUT,R,R,R,R,G,R,G
jgi|Suihi1|871569|e_gw1.3.240.1,314,3,OUT,6,IN,R,R,R,R,R,R,G
jgi|Suihi1|947600|fgenesh1_kg.3_#_393_#_Locus19146v1rpkm0.77,541,12,IN,12,IN,R,R,R,R,G,G,R
jgi|Suihi1|947599|fgenesh1_kg.3_#_392_#_Locus2329v1rpkm80.35,301,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|947598|fgenesh1_kg.3_#_391_#_Locus12207v1rpkm2.86,291,5,OUT,6,IN,R,R,R,R,R,R,R
jgi|Suihi1|947597|fgenesh1_kg.3_#_390_#_Locus3059v1rpkm61.20,126,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suihi1|903564|estExt_Genewise1.C_3_t20132,347,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|397648|CE397647_1656,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|397548|CE397547_141,189,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|947591|fgenesh1_kg.3_#_384_#_Locus12570v2rpkm0.28,97,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|1002258|gm1.1408_g,162,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|947585|fgenesh1_kg.3_#_378_#_Locus5096v1rpkm31.34,483,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|397264|CE397263_988,537,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|993221|estExt_fgenesh1_pg.C_30263,180,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|947580|fgenesh1_kg.3_#_373_#_Locus2362v1rpkm79.48,78,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suihi1|986696|estExt_fgenesh1_pm.C_30152,509,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suihi1|397121|CE397120_891,144,0,OUT,0,OUT,R,R,R,R,R,R,R
