SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Lacbi2|332226|Lacbi1.fgenesh3_pg.C_scaffold_39000094,180,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|705129|estExt_fgenesh3_kg.C_LG_5_t10389,520,1,IN,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|163235|Lacbi1.gwh1.39.26.1,163,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596035|e_gw1.5.1265.1,72,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|595065|e_gw1.5.505.1,291,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596752|e_gw1.5.66.1,362,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596903|e_gw1.5.1387.1,64,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|594812|e_gw1.5.873.1,1061,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|595873|e_gw1.5.60.1,727,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|492011|gw1.5.175.1,818,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|484034|fgenesh1_pm.LG_5_#_173,433,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445163|gm1.9607_g,200,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|308308|Lacbi1.eu2.Lbscf0039g01610,551,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445165|gm1.9609_g,839,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596381|e_gw1.5.40.1,290,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|594752|e_gw1.5.327.1,551,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445169|gm1.9613_g,777,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|457475|estExt_Genemark1.C_LG_5_t10495,899,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|594803|e_gw1.5.198.1,493,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|314149|Lacbi1.eu2.Lbscf0005g07380,699,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|497674|gw1.5.723.1,61,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|668932|estExt_fgenesh1_pm.C_LG_50176,289,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445173|gm1.9617_g,82,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445174|gm1.9618_g,99,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|232257|Lacbi1.e_gwh1.5.35.1,900,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|383839|Lacbi1.Eugenev2.0000050665,662,2,OUT,3,OUT,R,R,R,R,G,G,R
jgi|Lacbi2|324397|Lacbi1.fgenesh3_pg.C_scaffold_5000504,648,2,IN,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484041|fgenesh1_pm.LG_5_#_180,289,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|314154|Lacbi1.eu2.Lbscf0005g07430,197,3,OUT,3,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|595756|e_gw1.5.85.1,414,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|705133|estExt_fgenesh3_kg.C_LG_5_t10397,124,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|658007|estExt_fgenesh1_kg.C_LG_50169,231,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|144038|Lacbi1.gww1.5.210.1,354,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|324403|Lacbi1.fgenesh3_pg.C_scaffold_5000510,469,1,OUT,3,OUT,R,R,R,R,R,G,G
jgi|Lacbi2|484047|fgenesh1_pm.LG_5_#_186,218,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|689516|fgenesh3_kg.LG_5_#_422_#_Locus_5374_Transcript_3/3_Confidence_0.667,606,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|658009|estExt_fgenesh1_kg.C_LG_50172,118,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445187|gm1.9631_g,204,1,IN,0,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|689520|fgenesh3_kg.LG_5_#_426_#_Locus_6726_Transcript_2/4_Confidence_0.769,434,7,OUT,7,OUT,G,G,G,G,R,R,R
jgi|Lacbi2|324409|Lacbi1.fgenesh3_pg.C_scaffold_5000516,436,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|314168|Lacbi1.eu2.Lbscf0005g07570,483,1,OUT,8,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|314169|Lacbi1.eu2.Lbscf0005g07580,440,7,OUT,7,OUT,G,R,G,G,G,G,G
jgi|Lacbi2|457485|estExt_Genemark1.C_LG_5_t20018,767,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|594603|e_gw1.5.273.1,71,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|647587|estExt_Genewise1.C_LG_5_t30403,627,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|594362|e_gw1.5.408.1,56,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|594559|e_gw1.5.463.1,267,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|324415|Lacbi1.fgenesh3_pg.C_scaffold_5000522,828,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596395|e_gw1.5.870.1,504,0,OUT,0,OUT,R,R,R,R,G,G,R
jgi|Lacbi2|595330|e_gw1.5.599.1,76,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|705140|estExt_fgenesh3_kg.C_LG_5_t10414,632,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|705142|estExt_fgenesh3_kg.C_LG_5_t10416,784,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|595114|e_gw1.5.708.1,50,0,IN,0,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|595253|e_gw1.5.2015.1,279,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|631078|estExt_Genewise1Plus.C_LG_5_t30391,1047,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|324421|Lacbi1.fgenesh3_pg.C_scaffold_5000528,279,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|490455|gw1.5.37.1,70,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|533018|gw1.5.2659.1,122,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|491545|gw1.5.126.1,59,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Lacbi2|519612|gw1.5.2156.1,293,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596002|e_gw1.5.114.1,65,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484062|fgenesh1_pm.LG_5_#_201,58,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|177837|Lacbi1.estExt_Genewise1_worm.C_50082,595,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|595133|e_gw1.5.2327.1,693,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|689552|fgenesh3_kg.LG_5_#_458_#_Locus_14583_Transcript_2/2_Confidence_1.000,450,1,IN,1,IN,R,R,R,R,R,G,R
jgi|Lacbi2|399672|Lacbi1.DUP_estExt_Genewise1_human.C_50532,1533,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Lacbi2|324430|Lacbi1.fgenesh3_pg.C_scaffold_5000537,690,3,OUT,2,OUT,R,R,R,R,G,G,R
jgi|Lacbi2|668947|estExt_fgenesh1_pm.C_LG_50208,115,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|189031|Lacbi1.estExt_GeneWisePlus_worm.C_50107,502,4,OUT,3,IN,R,R,R,R,G,G,G
jgi|Lacbi2|595245|e_gw1.5.497.1,183,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484074|fgenesh1_pm.LG_5_#_213,97,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|484075|fgenesh1_pm.LG_5_#_214,526,12,IN,12,IN,R,R,R,R,R,G,R
jgi|Lacbi2|314198|Lacbi1.eu2.Lbscf0005g07870,511,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|689570|fgenesh3_kg.LG_5_#_476_#_Locus_6889_Transcript_3/5_Confidence_0.294,210,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|596274|e_gw1.5.2256.1,191,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|232400|Lacbi1.e_gwh1.5.192.1,332,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484082|fgenesh1_pm.LG_5_#_221,174,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Lacbi2|445222|gm1.9666_g,312,0,OUT,0,OUT,R,R,R,R,G,G,G
jgi|Lacbi2|484083|fgenesh1_pm.LG_5_#_222,243,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|594943|e_gw1.5.528.1,98,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Lacbi2|324439|Lacbi1.fgenesh3_pg.C_scaffold_5000546,403,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|594463|e_gw1.5.225.1,132,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484085|fgenesh1_pm.LG_5_#_224,239,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|445229|gm1.9673_g,161,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|595313|e_gw1.5.9.1,277,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|314210|Lacbi1.eu2.Lbscf0005g07990,417,8,IN,9,OUT,R,R,R,R,G,G,G
jgi|Lacbi2|314211|Lacbi1.eu2.Lbscf0005g08000,88,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484088|fgenesh1_pm.LG_5_#_227,225,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|484089|fgenesh1_pm.LG_5_#_228,499,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Lacbi2|596671|e_gw1.5.3238.1,63,0,OUT,0,OUT,R,R,R,R,R,R,R
