SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suipla1|1000017|estExt_Genewise1.C_80021,1949,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1000078|estExt_Genewise1.C_80085,5071,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1000079|estExt_Genewise1.C_80086,268,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipla1|1000373|estExt_Genewise1.C_80417,550,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1000619|estExt_Genewise1.C_9_t10186,500,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipla1|1000630|estExt_Genewise1.C_9_t10210,78,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suipla1|1000638|estExt_Genewise1.C_9_t10221,1317,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suipla1|1000883|estExt_Genewise1.C_9_t10499,608,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1000923|estExt_Genewise1.C_9_t20043,89,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1001138|estExt_Genewise1.C_100101,591,11,OUT,12,IN,R,R,R,R,G,G,G
jgi|Suipla1|1001278|estExt_Genewise1.C_100264,270,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1001467|estExt_Genewise1.C_11_t10055,454,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Suipla1|1001580|estExt_Genewise1.C_11_t10182,271,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipla1|1001859|estExt_Genewise1.C_11_t20004,497,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipla1|100193|CE100192_759,301,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Suipla1|1002276|estExt_Genewise1.C_120383,212,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1002335|estExt_Genewise1.C_120461,509,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1002691|estExt_Genewise1.C_130423,264,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1002793|estExt_Genewise1.C_140045,381,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1003232|estExt_Genewise1.C_150048,775,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1003488|estExt_Genewise1.C_150336,280,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1003730|estExt_Genewise1.C_160166,460,12,IN,12,IN,R,R,R,R,R,G,G
jgi|Suipla1|1003736|estExt_Genewise1.C_160178,157,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1004083|estExt_Genewise1.C_170246,679,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suipla1|1004233|estExt_Genewise1.C_180181,518,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipla1|1005148|estExt_Genewise1.C_210345,674,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1005149|estExt_Genewise1.C_210346,3459,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1005239|estExt_Genewise1.C_210445,477,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suipla1|1005246|estExt_Genewise1.C_210452,1390,0,OUT,0,IN,R,R,R,R,R,G,R
jgi|Suipla1|1005393|estExt_Genewise1.C_220213,670,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1005501|estExt_Genewise1.C_230136,842,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suipla1|1005600|estExt_Genewise1.C_230260,797,1,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1005654|estExt_Genewise1.C_230314,337,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Suipla1|1005714|estExt_Genewise1.C_240011,322,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suipla1|1005830|estExt_Genewise1.C_240133,798,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suipla1|100596|CE100595_426,371,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1006087|estExt_Genewise1.C_250056,201,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suipla1|1006161|estExt_Genewise1.C_250147,167,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Suipla1|1006171|estExt_Genewise1.C_250157,1044,0,OUT,0,OUT,R,R,R,R,R,R,R
