SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Cananz1|1002319|CE1002318_193,189,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Cananz1|1003806|CE1003805_3611,118,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1004811|CE1004810_12486,331,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1005476|CE1005475_5022,237,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1005539|CE1005538_14610,235,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1005922|CE1005921_26198,194,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|100664|CE100663_192,153,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1007633|CE1007632_8816,362,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1007708|CE1007707_1288,86,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|100930|CE100929_661,85,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1010510|CE1010509_3742,240,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1010518|CE1010517_6391,636,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1010738|CE1010737_4239,514,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1010770|CE1010769_13691,1208,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Cananz1|1010880|CE1010879_715,75,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Cananz1|1011016|CE1011015_19803,509,5,OUT,5,OUT,R,R,R,R,G,G,R
jgi|Cananz1|1011331|CE1011330_4448,434,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1012047|CE1012046_10292,342,0,OUT,7,OUT,R,R,R,R,G,R,R
jgi|Cananz1|1014593|CE1014592_608,81,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1014957|CE1014956_22,78,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Cananz1|1014975|CE1014974_176,190,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|101526|CE101525_1853,312,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Cananz1|101528|CE101527_4208,500,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Cananz1|1015370|CE1015369_203,478,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Cananz1|1015653|CE1015652_4319,155,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1015866|CE1015865_2173,555,10,IN,12,IN,R,R,R,R,R,G,G
jgi|Cananz1|1016571|CE1016570_1071,269,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1017194|CE1017193_25553,85,3,OUT,2,IN,R,R,R,R,R,R,R
jgi|Cananz1|1017367|CE1017366_402,169,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1017500|CE1017499_431,346,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1017501|CE1017500_225,104,0,IN,0,OUT,R,R,R,R,R,R,G
jgi|Cananz1|1018563|CE1018562_7013,230,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1018729|CE1018728_2526,320,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1019413|CE1019412_2415,302,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1019448|CE1019447_3916,362,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1019614|CE1019613_2182,891,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Cananz1|1019844|CE1019843_336,154,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1020327|CE1020326_475,173,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Cananz1|1020445|CE1020444_3688,241,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1020470|CE1020469_7073,321,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1020545|CE1020544_9537,614,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1020559|CE1020558_1939,607,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1020586|CE1020585_3742,655,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1021098|CE1021097_1055,218,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1021405|CE1021404_3064,179,0,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Cananz1|1021947|CE1021946_660,226,1,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1022137|CE1022136_2691,655,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1022248|CE1022247_876,226,0,OUT,0,IN,R,R,R,R,R,R,G
jgi|Cananz1|1022305|CE1022304_389,258,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1022373|CE1022372_144,203,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1022993|CE1022992_3591,193,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1023084|CE1023083_3675,249,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1023097|CE1023096_5863,330,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1023174|CE1023173_7788,464,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1023175|CE1023174_11783,757,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Cananz1|1023819|CE1023818_8185,213,2,IN,2,IN,R,R,R,R,R,R,R
jgi|Cananz1|1023925|CE1023924_520,141,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Cananz1|1024320|CE1024319_17147,405,0,OUT,0,OUT,R,R,R,R,R,R,R
