SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Rhisa1|904581|MIX18058_3_25,155,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|855384|gm1.240_g,370,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Rhisa1|723811|e_gw1.3.196.1,510,13,IN,12,IN,R,R,R,R,R,G,G
jgi|Rhisa1|293777|CE293776_96,140,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Rhisa1|804691|fgenesh1_kg.11_#_203_#_Locus11003v2rpkm0.00_PRE,76,2,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|725052|e_gw1.11.136.1,319,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|42381|CE42380_7807,243,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|725230|e_gw1.11.40.1,470,11,IN,11,IN,R,R,R,R,G,G,G
jgi|Rhisa1|871162|estExt_fgenesh1_pm.C_110110,942,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhisa1|42300|CE42299_842,831,0,OUT,4,IN,R,R,R,R,R,R,R
jgi|Rhisa1|856101|gm1.957_g,424,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|725234|e_gw1.11.270.1,440,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|804682|fgenesh1_kg.11_#_194_#_Locus282v1rpkm534.06,59,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhisa1|804679|fgenesh1_kg.11_#_191_#_Locus29976v2rpkm0.00_PRE,1140,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhisa1|780901|estExt_Genewise1Plus.C_110319,79,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|804676|fgenesh1_kg.11_#_188_#_Locus108v3rpkm16.06_PRE,111,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhisa1|888888|MIX2365_5704_70,598,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|804671|fgenesh1_kg.11_#_183_#_Locus6107v2rpkm15.55,1320,0,OUT,4,IN,R,R,R,R,R,R,R
jgi|Rhisa1|41794|CE41793_745,318,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhisa1|928493|estExt_Genemark1.C_110123,476,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|756809|estExt_Genewise1.C_110310,428,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rhisa1|856092|gm1.948_g,447,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rhisa1|725344|e_gw1.11.166.1,446,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhisa1|856090|gm1.946_g,293,1,OUT,2,IN,R,R,R,R,R,R,R
