SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Amamu1|155892|fgenesh1_kg.2_#_418_#_Locus589v2rpkm65.25,93,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|183492|fgenesh1_pm.2_#_301,1002,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Amamu1|155889|fgenesh1_kg.2_#_415_#_Locus944v1rpkm209.35,533,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|155888|fgenesh1_kg.2_#_414_#_Locus5192v1rpkm42.25,84,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|183489|fgenesh1_pm.2_#_298,120,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|183488|fgenesh1_pm.2_#_297,243,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|183487|fgenesh1_pm.2_#_296,330,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|66491|e_gw1.2.52.1,932,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Amamu1|155884|fgenesh1_kg.2_#_410_#_Locus739v1rpkm270.96,444,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155883|fgenesh1_kg.2_#_409_#_Locus28289v1rpkm0.54,125,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|155880|fgenesh1_kg.2_#_406_#_Locus4487v1rpkm50.19,250,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|155879|fgenesh1_kg.2_#_405_#_Locus3211v3rpkm40.25,160,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|1036718|MIX17797_11968_22,1374,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|67024|e_gw1.2.738.1,224,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|183481|fgenesh1_pm.2_#_290,233,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|6804|gm1.814_g,867,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155877|fgenesh1_kg.2_#_403_#_Locus8559v4rpkm1.26_PRE,235,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155875|fgenesh1_kg.2_#_401_#_Locus4155v1rpkm54.62,439,7,IN,7,IN,R,R,R,R,R,G,R
jgi|Amamu1|95706|estExt_Genewise1.C_2_t20360,813,12,OUT,14,OUT,R,R,R,R,G,G,G
jgi|Amamu1|183471|fgenesh1_pm.2_#_280,396,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|52575|gw1.2.996.1,400,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|20376|estExt_Genemark1.C_20280,196,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155869|fgenesh1_kg.2_#_395_#_Locus31469v1rpkm0.25,54,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155868|fgenesh1_kg.2_#_394_#_Locus29453v1rpkm0.45,91,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|20375|estExt_Genemark1.C_20279,322,2,IN,7,OUT,R,R,R,R,G,R,G
jgi|Amamu1|155863|fgenesh1_kg.2_#_389_#_Locus11715v1rpkm9.14,277,3,IN,4,IN,R,R,R,R,G,R,R
jgi|Amamu1|95691|estExt_Genewise1.C_2_t20342,1323,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|499624|CE298387_6644,299,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|499416|CE298179_11072,392,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|499415|CE298178_51921,559,5,IN,7,IN,R,R,R,R,G,R,R
jgi|Amamu1|499632|CE298395_5840,207,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155857|fgenesh1_kg.2_#_383_#_Locus6338v1rpkm31.94,783,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|20368|estExt_Genemark1.C_20272,214,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|498995|CE297758_2305,289,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155854|fgenesh1_kg.2_#_380_#_Locus16657v6rpkm0.57,143,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|155851|fgenesh1_kg.2_#_377_#_Locus10824v3rpkm3.71,391,1,OUT,4,IN,R,R,R,R,R,R,R
jgi|Amamu1|155850|fgenesh1_kg.2_#_376_#_Locus10824v4rpkm2.98,107,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|6788|gm1.798_g,389,1,OUT,2,IN,R,R,R,R,R,R,G
jgi|Amamu1|155849|fgenesh1_kg.2_#_375_#_Locus10824v2rpkm4.36,57,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155847|fgenesh1_kg.2_#_373_#_Locus863v1rpkm230.44,365,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155844|fgenesh1_kg.2_#_370_#_Locus330v1rpkm540.14,208,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|6785|gm1.795_g,525,6,IN,6,OUT,R,R,R,R,R,G,R
jgi|Amamu1|66596|e_gw1.2.1415.1,347,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|95663|estExt_Genewise1.C_2_t20314,539,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|66330|e_gw1.2.1133.1,462,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|58155|gw1.2.1211.1,337,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155839|fgenesh1_kg.2_#_365_#_Locus4416v1rpkm51.03,267,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|155838|fgenesh1_kg.2_#_364_#_Locus653v1rpkm304.98,144,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|498894|CE297657_16228,311,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|66803|e_gw1.2.693.1,160,0,OUT,4,IN,R,R,R,R,R,R,R
jgi|Amamu1|6776|gm1.786_g,405,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|195077|estExt_fgenesh1_pg.C_20218,310,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|175229|fgenesh1_pg.2_#_222,111,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|20350|estExt_Genemark1.C_20254,685,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|183451|fgenesh1_pm.2_#_260,194,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|189465|estExt_fgenesh1_pm.C_20256,657,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|66185|e_gw1.2.1037.1,311,2,IN,4,OUT,R,R,R,R,R,R,R
jgi|Amamu1|183448|fgenesh1_pm.2_#_257,665,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|497763|CE296526_1486,295,3,OUT,4,OUT,R,R,R,R,R,R,R
jgi|Amamu1|497552|CE296315_8352,780,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|6767|gm1.777_g,154,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|6766|gm1.776_g,399,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155824|fgenesh1_kg.2_#_350_#_Locus22412v1rpkm1.37,50,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|183446|fgenesh1_pm.2_#_255,359,9,OUT,10,IN,R,R,R,R,G,G,R
jgi|Amamu1|66319|e_gw1.2.1434.1,339,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Amamu1|195068|estExt_fgenesh1_pg.C_20209,549,0,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Amamu1|183443|fgenesh1_pm.2_#_252,289,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155821|fgenesh1_kg.2_#_347_#_Locus7788v1rpkm22.93,300,1,IN,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|66713|e_gw1.2.710.1,475,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|6760|gm1.770_g,1176,10,IN,11,IN,R,R,R,R,G,G,G
jgi|Amamu1|6759|gm1.769_g,380,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|155816|fgenesh1_kg.2_#_342_#_Locus14350v1rpkm5.15,81,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|1036586|MIX17665_590_59,233,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|66153|e_gw1.2.1099.1,339,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|6757|gm1.767_g,639,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Amamu1|175217|fgenesh1_pg.2_#_210,466,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|183437|fgenesh1_pm.2_#_246,363,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|67085|e_gw1.2.736.1,175,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|183435|fgenesh1_pm.2_#_244,553,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|155801|fgenesh1_kg.2_#_327_#_Locus21713v1rpkm1.51,55,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|496318|CE295081_13,54,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Amamu1|183434|fgenesh1_pm.2_#_243,476,9,OUT,12,IN,R,R,R,R,G,G,R
jgi|Amamu1|495888|CE294651_10669,125,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|183432|fgenesh1_pm.2_#_241,429,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|495916|CE294679_4866,241,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155792|fgenesh1_kg.2_#_318_#_Locus5035v1rpkm43.78,606,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|495504|CE294267_14462,507,1,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Amamu1|95580|estExt_Genewise1.C_2_t20231,401,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Amamu1|183429|fgenesh1_pm.2_#_238,392,9,OUT,10,IN,R,R,R,R,G,G,R
jgi|Amamu1|155787|fgenesh1_kg.2_#_313_#_Locus3652v1rpkm62.78,81,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|6748|gm1.758_g,195,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|495036|CE293799_39063,197,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|67122|e_gw1.2.266.1,343,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|155785|fgenesh1_kg.2_#_311_#_Locus2545v1rpkm87.90,684,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Amamu1|155784|fgenesh1_kg.2_#_310_#_Locus3007v1rpkm75.40,445,0,OUT,3,IN,R,R,R,R,R,R,R
jgi|Amamu1|155783|fgenesh1_kg.2_#_309_#_Locus1012v1rpkm196.10,155,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Amamu1|155782|fgenesh1_kg.2_#_308_#_Locus7497v1rpkm24.52,808,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Amamu1|20321|estExt_Genemark1.C_20224,133,1,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Amamu1|95551|estExt_Genewise1.C_2_t20202,365,0,OUT,0,OUT,R,R,R,R,R,R,R
