JGI_project_code,species,treatment,host,n_SSPs,n_SSSPs,n_proteins,genome_size,percent_SSSPs_out_of_SSPs,percent_SSP_out_of_proteins
Amamu1,A_muscaria,O,O,444,250,18153,40.7,56.30630631,2.445876715
Cananz1,C_anzutake,O,O,533,376,16968,120.17,70.54409006,3.141206978
Gaumor1,G_morchelliformis,O,O,618,422,20331,122.81,68.28478964,3.03969308
Gyrli1,G_lividus,O,O,248,73,11779,42.05,29.43548387,2.105441888
Hebcy2,H_cylandrosporum,O,O,393,181,15382,38.23,46.05597964,2.554934339
Hydru2,H_rufescens,O,O,394,265,18665,67.14,67.25888325,2.110902759
Hyssto1,H_stoloniferum,O,O,304,126,15017,111.84,41.44736842,2.024372378
Lacam2,L_amethystina,O,O,495,187,17553,52.58,37.77777778,2.820030764
Lacbi2,L_bicolor,O,O,552,188,23132,60.71,34.05797101,2.386304686
Paxin1,P_involutus,O,O,279,57,17968,58.3,20.43010753,1.552760463
Pilcr1,P_croceum (olivaceum),O,O,486,270,21583,59.33,55.55555556,2.251772228
Pismi1,P_microcarpus,O,O,327,151,21064,53.03,46.17737003,1.552411698
Pisti1,P_tinctorius,O,O,372,177,22701,71.01,47.58064516,1.638694331
Rhisa1,R_salebrosus,O,O,359,158,18900,82.29,44.01114206,1.899470899
Rhitru1,R_trucatus,O,O,278,125,11852,38.91,44.96402878,2.34559568
Rhives1,R_vesiculosus,O,O,241,39,14218,43.81,16.18257261,1.695034463
Rhivi1,R_vinicolor,O,O,365,94,14469,36,25.75342466,2.522634598
Rhivul1,R_vulgaris,O,O,243,81,11905,39.9,33.33333333,2.041159177
Rusbre1,R_brevipes,O,O,387,265,14000,48.53,68.4754522,2.764285714
Ruscom1,R_compacta,O,O,281,150,10834,45.68,53.38078292,2.593686542
Sclci1,S_citrinum,O,O,359,153,21012,56.14,42.6183844,1.708547497
Suiame1,S_americanus,S,W,426,124,17163,50.81,29.10798122,2.482083552
Suiamp1,S_ampliporus,S,L,385,146,16527,58.33,37.92207792,2.329521389
Suibov1,S_bovinus,S,R,391,89,13537,47.5,22.76214834,2.888379996
Suibr2,S_brevipes,S,R,398,92,21458,52.03,23.11557789,1.854786094
Suicli1,S_clintonianus,S,L,357,118,15530,46.84,33.05322129,2.298776561
Suicot1,S_cothurnatus,S,R,413,125,19836,94.61,30.26634383,2.082072999
Suidec1,S_decipiens,S,R,387,105,16894,62.78,27.13178295,2.290754114
Suidis1,S_discolor,S,W,377,113,16510,60.61,29.9734748,2.283464567
Suifus1,S_fuscotomentosus,S,R,356,97,18512,79.66,27.24719101,1.923076923
Suigr1,S_granulatus,S,G,289,71,15802,42.34,24.56747405,1.82888242
Suihi1,S_hirtellus,S,R,328,75,17067,49.94,22.86585366,1.921837464
Suilak1,S_lakei,S,P,548,211,19384,79.75,38.50364964,2.827073875
Suilu4,S_luteus,S,R,360,93,16588,44.49,25.83333333,2.17024355
Suiocc1,S_occidentalis,S,R,368,114,16030,57.96,30.97826087,2.295695571
Suipal1,S_paluster,S,L,508,155,16585,61.99,30.51181102,3.063008743
Suipic1,S_pictus,S,W,521,174,19349,87.09,33.39731286,2.692645615
Suipla1,S_placedus,S,W,337,98,15123,55.32,29.08011869,2.228393837
Suiplo1,S_plorans,S,W,344,67,16402,51.86,19.47674419,2.097305207
Suisu1,S_subalutaceus,S,R,386,111,17080,64.97,28.75647668,2.259953162
Suisub1,S_subaureus,S,G,375,116,15740,57.66,30.93333333,2.382465057
Suisubl1,S_subluteus,S,W,516,149,22673,114.21,28.87596899,2.275834693
Suitom1,S_tomentosus,S,R,324,65,17198,53.06,20.0617284,1.883939993
Suivar1,S_variegatus,S,R,362,78,17072,64.86,21.54696133,2.120431115
Thega1,T_ganbajun,O,O,228,107,12643,36.34,46.92982456,1.803369453
Theter1,T_terestris,O,O,181,64,13338,40.73,35.35911602,1.357025041
