SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suidec1|1092018|fgenesh1_kg.11_#_242_#_Locus5303v2rpkm0.00_PRE,52,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1092016|fgenesh1_kg.11_#_240_#_Locus1635v1rpkm118.48,342,4,OUT,4,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1126456|fgenesh1_pm.11_#_133,402,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suidec1|1092014|fgenesh1_kg.11_#_238_#_Locus15473v1rpkm2.14,112,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1092013|fgenesh1_kg.11_#_237_#_Locus8575v1rpkm12.58,343,1,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1126454|fgenesh1_pm.11_#_131,455,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1047673|estExt_Genewise1.C_11_t10438,656,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1126452|fgenesh1_pm.11_#_129,85,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1228915|estExt_Genemark1.C_110150,101,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1092009|fgenesh1_kg.11_#_233_#_Locus4434v4rpkm3.24_PRE,163,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|989203|gw1.11.747.1,60,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006524|e_gw1.11.629.1,1218,11,OUT,11,OUT,R,R,R,R,G,G,G
jgi|Suidec1|1092001|fgenesh1_kg.11_#_225_#_Locus2567v2rpkm38.20,699,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006413|e_gw1.11.295.1,305,7,IN,8,IN,R,R,R,R,G,R,G
jgi|Suidec1|1126448|fgenesh1_pm.11_#_125,555,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1006594|e_gw1.11.655.1,911,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1070312|estExt_Genewise1Plus.C_11_t10412,407,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1006303|e_gw1.11.653.1,314,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1047646|estExt_Genewise1.C_11_t10410,530,3,OUT,5,IN,R,R,R,R,R,R,G
jgi|Suidec1|1070305|estExt_Genewise1Plus.C_11_t10404,951,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1091991|fgenesh1_kg.11_#_215_#_Locus168v1rpkm965.79,842,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1091990|fgenesh1_kg.11_#_214_#_Locus1471v1rpkm133.73,160,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Suidec1|1047640|estExt_Genewise1.C_11_t10404,463,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suidec1|1091989|fgenesh1_kg.11_#_213_#_Locus4682v2rpkm11.83,520,0,OUT,1,IN,R,R,R,R,G,R,R
jgi|Suidec1|1126441|fgenesh1_pm.11_#_118,181,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suidec1|1091987|fgenesh1_kg.11_#_211_#_Locus4066v1rpkm45.25,852,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1133534|estExt_fgenesh1_pm.C_110115,540,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1091984|fgenesh1_kg.11_#_208_#_Locus869v1rpkm217.39,242,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006516|e_gw1.11.617.1,210,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1169359|MIX4074_47244_78,346,1,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suidec1|1140257|estExt_fgenesh1_pg.C_110100,340,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1126434|fgenesh1_pm.11_#_111,373,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006552|e_gw1.11.778.1,458,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1091978|fgenesh1_kg.11_#_202_#_Locus9825v1rpkm8.65,403,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|81558|CE81557_4501,210,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1150441|gm1.3973_g,168,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Suidec1|81507|CE81506_330,96,1,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Suidec1|1091972|fgenesh1_kg.11_#_196_#_Locus780v1rpkm242.99,746,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1133525|estExt_fgenesh1_pm.C_110106,1048,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1091970|fgenesh1_kg.11_#_194_#_Locus2382v1rpkm82.23,251,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1047594|estExt_Genewise1.C_11_t10356,450,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1091968|fgenesh1_kg.11_#_192_#_Locus1577v1rpkm123.06,145,2,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1150435|gm1.3967_g,440,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006400|e_gw1.11.50.1,355,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1091964|fgenesh1_kg.11_#_188_#_Locus3711v1rpkm50.60,335,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006492|e_gw1.11.650.1,369,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1091963|fgenesh1_kg.11_#_187_#_Locus4095v1rpkm44.91,622,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1091962|fgenesh1_kg.11_#_186_#_Locus3242v1rpkm58.62,782,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1047578|estExt_Genewise1.C_11_t10339,1044,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1006275|e_gw1.11.657.1,166,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1115122|fgenesh1_pg.11_#_88,672,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suidec1|1070237|estExt_Genewise1Plus.C_11_t10333,584,7,OUT,7,OUT,R,R,R,R,G,G,R
jgi|Suidec1|1150427|gm1.3959_g,232,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1228877|estExt_Genemark1.C_110112,256,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1133511|estExt_fgenesh1_pm.C_110092,255,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suidec1|1133510|estExt_fgenesh1_pm.C_110091,479,0,OUT,0,IN,R,R,R,R,R,R,R
