SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Sclci1|100382|e_gw1.1.313.1,144,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|18549|gm1.4_g,151,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|18550|gm1.5_g,94,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|101166|e_gw1.1.266.1,383,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Sclci1|100323|e_gw1.1.643.1,331,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|56986|gw1.1.436.1,133,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|100751|e_gw1.1.330.1,224,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|101208|e_gw1.1.252.1,119,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Sclci1|101119|e_gw1.1.388.1,154,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|100937|e_gw1.1.1212.1,109,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|100830|e_gw1.1.630.1,317,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|58450|gw1.1.466.1,183,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Sclci1|18559|gm1.14_g,170,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|18560|gm1.15_g,648,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|18561|gm1.16_g,211,0,OUT,0,IN,R,R,R,R,R,R,G
jgi|Sclci1|18562|gm1.17_g,380,0,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Sclci1|18563|gm1.18_g,206,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|100985|e_gw1.1.1095.1,234,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206539|fgenesh1_kg.1_#_1_#_Locus17867v1rpkm1.27,52,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206540|fgenesh1_kg.1_#_2_#_Locus805v1rpkm145.02,77,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206541|fgenesh1_kg.1_#_3_#_Locus400v1rpkm242.22,65,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206542|fgenesh1_kg.1_#_4_#_Locus9956v1rpkm5.06,282,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|101191|e_gw1.1.642.1,707,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|12412|fgenesh1_pm.1_#_2,225,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206549|fgenesh1_kg.1_#_11_#_Locus14241v1rpkm2.09,62,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|18567|gm1.22_g,1641,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Sclci1|1206552|fgenesh1_kg.1_#_14_#_Locus2896v3rpkm6.60,314,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|146901|CE286_3478,78,2,OUT,1,IN,R,R,R,R,R,R,G
jgi|Sclci1|148749|CE2134_24836,265,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|148789|CE2174_31049,165,0,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Sclci1|100423|e_gw1.1.1026.1,380,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|6159|fgenesh1_pg.1_#_5,131,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|100483|e_gw1.1.256.1,218,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|149227|CE2612_19551,216,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Sclci1|100662|e_gw1.1.655.1,334,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|149003|CE2388_3774,368,0,OUT,3,IN,R,R,R,R,R,R,R
jgi|Sclci1|1206559|fgenesh1_kg.1_#_21_#_Locus1408v1rpkm94.27,432,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Sclci1|149026|CE2411_430,76,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206560|fgenesh1_kg.1_#_22_#_Locus6671v1rpkm15.02,71,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Sclci1|1206561|fgenesh1_kg.1_#_23_#_Locus16562v4rpkm0.69,98,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206562|fgenesh1_kg.1_#_24_#_Locus16562v5rpkm0.47,132,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Sclci1|1206564|fgenesh1_kg.1_#_26_#_Locus9532v2rpkm3.01,262,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|100623|e_gw1.1.1022.1,64,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Sclci1|1206567|fgenesh1_kg.1_#_29_#_Locus719v1rpkm157.50,274,0,OUT,2,IN,R,R,R,R,R,R,R
