SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Pisti1|928233|MIX84_7_15,429,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|60519|gw1.1.797.1,301,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|117400|gw1.1.2852.1,112,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Pisti1|5824|fgenesh1_pg.1_#_21,121,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|175170|CE2277_1001,297,7,OUT,6,OUT,R,R,R,R,G,G,G
jgi|Pisti1|87060|gw1.1.1758.1,73,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|118403|e_gw1.1.2851.1,165,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Pisti1|991253|fgenesh1_kg.1_#_70_#_Locus20495v3rpkm0.16,486,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Pisti1|175141|CE2248_142,111,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|17412|gm1.31_g,151,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Pisti1|17411|gm1.30_g,455,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|175117|CE2224_852,164,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Pisti1|88602|gw1.1.1824.1,73,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Pisti1|175084|CE2191_991,173,1,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Pisti1|991245|fgenesh1_kg.1_#_62_#_Locus24031v1rpkm0.78,114,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|991244|fgenesh1_kg.1_#_61_#_Locus15979v1rpkm2.06,61,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Pisti1|85235|gw1.1.1700.1,375,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|991242|fgenesh1_kg.1_#_59_#_Locus5191v5rpkm0.90_PRE,86,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|991241|fgenesh1_kg.1_#_58_#_Locus5191v6rpkm0.81_PRE,62,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Pisti1|174955|CE2062_277,93,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|991240|fgenesh1_kg.1_#_57_#_Locus17882v7rpkm0.16,73,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Pisti1|991238|fgenesh1_kg.1_#_55_#_Locus17882v6rpkm0.16,62,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pisti1|991235|fgenesh1_kg.1_#_52_#_Locus17882v1rpkm1.53,122,0,OUT,0,OUT,R,R,R,R,R,R,R
