SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suifus1|1000001|fgenesh1_kg.3_#_1194_#_TRINITY_DN7881_c0_g3_i1,764,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suifus1|1000024|fgenesh1_kg.3_#_1217_#_TRINITY_DN4129_c0_g1_i4,380,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000036|fgenesh1_kg.3_#_1229_#_TRINITY_DN7217_c0_g1_i2,318,3,OUT,4,OUT,R,R,R,R,G,R,R
jgi|Suifus1|1000049|fgenesh1_kg.3_#_1242_#_TRINITY_DN6083_c0_g1_i4,422,8,IN,6,IN,R,R,R,R,R,G,R
jgi|Suifus1|1000061|fgenesh1_kg.3_#_1254_#_TRINITY_DN8120_c1_g1_i1,589,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suifus1|1000074|fgenesh1_kg.3_#_1267_#_TRINITY_DN4398_c0_g1_i1,354,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000109|fgenesh1_kg.3_#_1302_#_TRINITY_DN8454_c0_g1_i1,857,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suifus1|1000173|fgenesh1_kg.3_#_1366_#_TRINITY_DN7408_c0_g1_i1,1456,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suifus1|1000174|fgenesh1_kg.3_#_1367_#_TRINITY_DN1129_c0_g1_i1,479,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suifus1|1000210|fgenesh1_kg.3_#_1403_#_TRINITY_DN8627_c1_g2_i1,168,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000220|fgenesh1_kg.3_#_1413_#_TRINITY_DN3405_c0_g2_i1,293,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000231|fgenesh1_kg.3_#_1424_#_TRINITY_DN4542_c0_g1_i2,409,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000233|fgenesh1_kg.3_#_1426_#_TRINITY_DN5125_c0_g1_i1,536,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000272|fgenesh1_kg.3_#_1465_#_TRINITY_DN6978_c1_g1_i3,136,0,OUT,1,OUT,R,R,R,R,G,R,R
jgi|Suifus1|1000277|fgenesh1_kg.3_#_1470_#_TRINITY_DN7861_c0_g1_i4,296,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suifus1|1000303|fgenesh1_kg.3_#_1496_#_TRINITY_DN7861_c1_g1_i5,506,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suifus1|1000310|fgenesh1_kg.3_#_1503_#_TRINITY_DN4905_c0_g1_i1,675,0,OUT,1,OUT,R,R,R,R,R,R,R
