SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suilak1|1002629|CE1002628_27,167,1,OUT,1,IN,R,R,R,R,R,R,G
jgi|Suilak1|100439|CE100438_16565,348,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1004804|CE1004803_215,387,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1004942|CE1004941_101,263,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1005271|CE1005270_1269,181,1,IN,2,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1005272|CE1005271_462,152,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suilak1|1005297|CE1005296_35488,517,13,OUT,12,IN,R,R,R,R,R,G,G
jgi|Suilak1|1005357|CE1005356_17183,278,1,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1005661|CE1005660_895,319,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Suilak1|1006146|CE1006145_135,169,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1006268|CE1006267_2858,319,6,OUT,5,IN,R,R,R,R,G,G,G
jgi|Suilak1|1006850|CE1006849_5960,184,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1006902|CE1006901_7051,196,4,IN,4,IN,R,R,R,R,G,G,G
jgi|Suilak1|1006998|CE1006997_20610,188,1,OUT,3,OUT,R,R,R,R,G,R,R
jgi|Suilak1|1007028|CE1007027_8100,202,3,OUT,3,OUT,R,R,R,R,G,R,G
jgi|Suilak1|1007464|CE1007463_7546,126,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1007475|CE1007474_49010,144,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1007508|CE1007507_29787,140,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1007579|CE1007578_82277,160,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1008113|CE1008112_6067,203,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1008191|CE1008190_21431,1640,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1008378|CE1008377_384,333,7,OUT,8,OUT,R,R,R,R,G,G,G
jgi|Suilak1|1008425|CE1008424_15401,162,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1008773|CE1008772_1366,184,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1009114|CE1009113_86204,138,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1009946|CE1009945_678,168,0,IN,1,OUT,R,R,R,R,R,R,G
jgi|Suilak1|101176|CE101175_6513,423,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suilak1|1011921|CE1011920_3319,524,5,OUT,5,OUT,R,R,R,R,G,G,G
jgi|Suilak1|101204|CE101203_8917,334,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|101541|CE101540_4094,270,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1015484|CE1015483_6133,108,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1015669|CE1015668_12932,864,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suilak1|1016095|CE1016094_269,238,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Suilak1|1016705|CE1016704_137,82,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1017422|CE1017421_85,175,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1018302|CE1018301_152,335,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suilak1|1018812|CE1018811_676,188,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suilak1|1019257|CE1019256_618,450,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Suilak1|1019525|CE1019524_42,157,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1020025|CE1020024_12286,611,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suilak1|1020375|CE1020374_181,304,7,OUT,7,OUT,R,R,R,R,G,R,G
jgi|Suilak1|1020786|CE1020785_1122,339,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suilak1|102150|CE102149_677,149,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suilak1|1021522|CE1021521_713,134,0,OUT,1,IN,R,R,R,R,G,R,R
jgi|Suilak1|1021775|CE1021774_20869,342,0,OUT,0,OUT,R,R,R,R,R,R,R
