SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Ruscom1|10013|CE10012_16317,158,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|100386|CE100385_4803,336,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|101140|CE101139_796,261,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|101749|CE101748_23137,269,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|101843|CE101842_5697,485,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|101911|CE101910_1700,198,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|101928|CE101927_1934,168,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|101934|CE101933_3584,266,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|101947|CE101946_8024,782,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Ruscom1|102136|CE102135_602,285,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|102205|CE102204_239,447,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|102218|CE102217_430,351,0,IN,0,OUT,R,R,R,R,G,R,R
jgi|Ruscom1|102233|CE102232_394,235,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|102341|CE102340_197,162,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Ruscom1|103270|CE103269_545,499,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|103645|CE103644_5692,573,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|104207|CE104206_1683,409,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|104255|CE104254_46120,209,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|104398|CE104397_2634,129,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|105564|CE105563_1151,933,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|105663|CE105662_1936,110,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|105858|CE105857_412,173,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Ruscom1|106066|CE106065_393,87,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|106200|CE106199_1774,160,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|107147|CE107146_231,77,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|107413|CE107412_1090,128,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Ruscom1|107718|CE107717_9313,293,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|107754|CE107753_53641,140,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|107961|CE107960_214,191,0,OUT,3,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|10814|CE10813_6067,247,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|108206|CE108205_668,163,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|108566|CE108565_1805,157,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Ruscom1|108658|CE108657_26,94,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|108854|CE108853_2474,176,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|109047|CE109046_492,89,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Ruscom1|109098|CE109097_6738,191,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|109564|CE109563_7686,219,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Ruscom1|109846|CE109845_781,173,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|109912|CE109911_872,213,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|109935|CE109934_452,298,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Ruscom1|110186|CE110185_863,104,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|110341|CE110340_13069,541,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Ruscom1|110419|CE110418_13195,477,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|110510|CE110509_6825,242,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|111333|CE111332_42,102,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Ruscom1|111493|CE111492_406,170,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|111560|CE111559_46,159,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|111638|CE111637_44542,171,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Ruscom1|113240|CE113239_2878,163,2,IN,1,IN,R,R,R,R,G,R,G
jgi|Ruscom1|113335|CE113334_13001,151,2,OUT,0,IN,R,R,R,R,R,R,R
jgi|Ruscom1|11333|CE11332_4686,151,1,OUT,3,IN,R,R,R,R,R,R,R
