SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Theter1|1000002|e_gw1.2.1649.1,510,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000014|e_gw1.2.598.1,144,0,IN,0,OUT,R,R,R,R,R,R,G
jgi|Theter1|1000020|e_gw1.2.1042.1,87,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Theter1|1000042|e_gw1.2.936.1,464,1,IN,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000047|e_gw1.2.1641.1,283,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000126|e_gw1.2.158.1,210,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000129|e_gw1.2.480.1,817,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Theter1|100013|CE100012_9247,228,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Theter1|1000156|e_gw1.2.84.1,166,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000158|e_gw1.2.1671.1,443,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000183|e_gw1.2.1621.1,507,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000188|e_gw1.2.953.1,251,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000213|e_gw1.2.1813.1,167,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000216|e_gw1.2.523.1,372,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000250|e_gw1.2.1437.1,560,11,OUT,12,IN,R,R,R,R,G,G,G
jgi|Theter1|1000262|e_gw1.3.418.1,386,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Theter1|1000269|e_gw1.3.575.1,189,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000273|e_gw1.3.1084.1,247,1,IN,0,IN,R,R,R,R,R,R,R
jgi|Theter1|1000278|e_gw1.3.976.1,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|100029|CE100028_295,171,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000308|e_gw1.3.792.1,130,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000309|e_gw1.3.545.1,63,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000319|e_gw1.3.43.1,223,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000347|e_gw1.3.488.1,2339,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000352|e_gw1.3.958.1,250,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Theter1|1000389|e_gw1.3.785.1,211,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000404|e_gw1.3.319.1,328,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Theter1|1000429|e_gw1.3.1064.1,164,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000457|e_gw1.3.26.1,905,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000463|e_gw1.3.48.1,203,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000477|e_gw1.3.374.1,284,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Theter1|1000478|e_gw1.3.862.1,335,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Theter1|1000506|e_gw1.3.988.1,339,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000508|e_gw1.3.755.1,843,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000513|e_gw1.3.820.1,843,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000561|e_gw1.3.902.1,992,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000582|e_gw1.3.382.1,223,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000595|e_gw1.3.639.1,53,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000617|e_gw1.3.1013.1,218,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000638|e_gw1.3.98.1,153,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000682|e_gw1.3.1140.1,299,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Theter1|1000690|e_gw1.3.88.1,990,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000733|e_gw1.3.12.1,243,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000772|e_gw1.3.701.1,318,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000810|e_gw1.3.65.1,240,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000813|e_gw1.3.1136.1,532,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Theter1|1000831|e_gw1.3.394.1,389,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000862|e_gw1.3.299.1,245,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000864|e_gw1.3.903.1,338,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000873|e_gw1.3.1051.1,424,1,OUT,1,OUT,R,R,R,R,G,R,R
jgi|Theter1|1000888|e_gw1.3.580.1,502,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000917|e_gw1.3.636.1,338,7,OUT,7,OUT,G,R,R,R,G,G,G
jgi|Theter1|1000946|e_gw1.3.890.1,336,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Theter1|1000949|e_gw1.3.927.1,415,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000950|e_gw1.3.611.1,175,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000954|e_gw1.3.441.1,294,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Theter1|1000967|e_gw1.3.995.1,124,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Theter1|1000981|e_gw1.3.836.1,322,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1001013|e_gw1.3.651.1,134,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1001025|e_gw1.3.144.1,209,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Theter1|1001037|e_gw1.3.605.1,861,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1001077|e_gw1.3.1149.1,851,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Theter1|1001094|e_gw1.3.213.1,232,4,IN,4,IN,R,R,R,R,G,R,G
jgi|Theter1|1001102|e_gw1.3.595.1,231,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Theter1|1001128|e_gw1.3.628.1,128,0,OUT,0,OUT,R,R,R,R,R,R,G
