SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suibr2|704797|Suibr1.gw1.15.464.1,356,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|130166|Suibr1.CE130165_254,99,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|1762424|estExt_Genewise1Plus.C_140225,218,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|1851407|estExt_fgenesh1_pg.C_140100,349,4,IN,8,OUT,R,R,R,R,G,R,G
jgi|Suibr2|895427|Suibr1.MIX11335_21_91,75,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|827572|Suibr1.fgenesh1_kg.15_#_186_#_Locus14715v1rpkm3.79,428,8,OUT,9,IN,R,R,R,R,G,G,R
jgi|Suibr2|827571|Suibr1.fgenesh1_kg.15_#_185_#_Locus18321v1rpkm2.01,161,1,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|769687|Suibr1.estExt_Genewise1.C_150327,471,7,OUT,9,IN,R,R,R,R,G,G,G
jgi|Suibr2|1801386|fgenesh1_pg.14_#_98,104,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibr2|708986|Suibr1.gw1.15.543.1,124,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibr2|719026|Suibr1.e_gw1.15.503.1,290,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|699760|Suibr1.gw1.15.363.1,87,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|719050|Suibr1.e_gw1.15.444.1,489,9,OUT,9,OUT,R,R,R,R,G,G,G
jgi|Suibr2|827561|Suibr1.fgenesh1_kg.15_#_175_#_Locus19289v1rpkm1.73,231,5,OUT,5,IN,R,R,R,R,G,G,R
jgi|Suibr2|718942|Suibr1.e_gw1.15.178.1,256,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|719172|Suibr1.e_gw1.15.203.1,411,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibr2|861605|Suibr1.estExt_fgenesh1_pg.C_150072,208,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibr2|827554|Suibr1.fgenesh1_kg.15_#_168_#_Locus8217v1rpkm21.33,634,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Suibr2|1783228|fgenesh1_kg.14_#_165_#_Locus7858v4rpkm6.89,529,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|815729|Suibr1.fgenesh1_pg.15_#_71,345,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|719219|Suibr1.e_gw1.15.553.1,386,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibr2|795078|Suibr1.estExt_Genewise1Plus.C_150275,219,6,IN,6,OUT,R,R,R,R,R,R,G
jgi|Suibr2|950356|Suibr1.estExt_Genemark1.C_150085,160,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Suibr2|1702865|e_gw1.14.344.1,938,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|719141|Suibr1.e_gw1.15.531.1,162,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibr2|869716|Suibr1.gm1.2920_g,227,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suibr2|815725|Suibr1.fgenesh1_pg.15_#_67,524,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibr2|895365|Suibr1.MIX11273_10_31,135,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|703796|Suibr1.gw1.15.443.1,79,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|827537|Suibr1.fgenesh1_kg.15_#_151_#_Locus27272v1rpkm0.00,52,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|129651|Suibr1.CE129650_189,119,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|649253|Suibr1.gw1.15.95.1,202,5,OUT,5,OUT,R,R,R,R,G,R,G
jgi|Suibr2|719176|Suibr1.e_gw1.15.259.1,490,10,OUT,10,OUT,R,R,R,R,G,G,G
jgi|Suibr2|129578|Suibr1.CE129577_99,91,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suibr2|827532|Suibr1.fgenesh1_kg.15_#_146_#_Locus11810v1rpkm7.96,496,9,OUT,11,OUT,R,R,R,R,R,G,R
jgi|Suibr2|827531|Suibr1.fgenesh1_kg.15_#_145_#_Locus5569v1rpkm40.70,1141,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibr2|719011|Suibr1.e_gw1.15.136.1,158,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suibr2|795064|Suibr1.estExt_Genewise1Plus.C_150246,626,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suibr2|719004|Suibr1.e_gw1.15.426.1,420,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|845076|Suibr1.fgenesh1_pm.15_#_55,851,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|827528|Suibr1.fgenesh1_kg.15_#_142_#_Locus19024v1rpkm1.82,285,7,OUT,5,IN,R,R,R,R,G,G,R
jgi|Suibr2|129267|Suibr1.CE129266_20,138,1,OUT,1,IN,R,R,R,R,G,R,G
jgi|Suibr2|719077|Suibr1.e_gw1.15.548.1,262,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suibr2|719061|Suibr1.e_gw1.15.480.1,183,0,OUT,0,IN,R,R,R,R,R,R,R
