SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Rhitru1|1000035|gm1.11826_g,158,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000050|gm1.11841_g,771,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000245|estExt_fgenesh1_pm.C_1_t10201,473,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000253|estExt_fgenesh1_pm.C_1_t10209,887,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000260|estExt_fgenesh1_pm.C_1_t10218,527,5,IN,5,IN,R,R,R,R,R,R,G
jgi|Rhitru1|1000279|estExt_fgenesh1_pm.C_1_t10237,266,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000284|estExt_fgenesh1_pm.C_1_t10242,219,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000360|estExt_fgenesh1_pm.C_1_t10325,313,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000369|estExt_fgenesh1_pm.C_1_t10334,203,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000448|estExt_fgenesh1_pm.C_1_t10419,200,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000487|estExt_fgenesh1_pm.C_1_t10461,254,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000533|estExt_fgenesh1_pm.C_1_t20028,329,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000575|estExt_fgenesh1_pm.C_1_t20073,992,0,OUT,4,OUT,R,R,R,R,G,G,R
jgi|Rhitru1|1000591|estExt_fgenesh1_pm.C_1_t20089,562,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000592|estExt_fgenesh1_pm.C_1_t20091,506,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000621|estExt_fgenesh1_pm.C_1_t20121,513,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000686|estExt_fgenesh1_pm.C_1_t20187,362,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000699|estExt_fgenesh1_pm.C_1_t20200,842,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000714|estExt_fgenesh1_pm.C_1_t20216,372,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000718|estExt_fgenesh1_pm.C_1_t20220,354,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000759|estExt_fgenesh1_pm.C_1_t20264,390,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000798|estExt_fgenesh1_pm.C_1_t20305,515,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000883|estExt_fgenesh1_pm.C_1_t20393,1436,11,OUT,8,IN,R,R,R,R,G,G,R
jgi|Rhitru1|100088|CE100087_667,341,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1000898|estExt_fgenesh1_pm.C_1_t20409,267,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1000947|estExt_fgenesh1_pm.C_1_t20460,406,10,IN,10,IN,R,R,R,R,G,G,G
jgi|Rhitru1|1001091|estExt_fgenesh1_pm.C_2_t10027,883,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1001142|estExt_fgenesh1_pm.C_2_t10079,460,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1001162|estExt_fgenesh1_pm.C_2_t10100,470,8,IN,8,IN,R,R,R,R,G,G,R
jgi|Rhitru1|1001215|estExt_fgenesh1_pm.C_2_t10158,825,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1001317|estExt_fgenesh1_pm.C_2_t10267,1587,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Rhitru1|1001385|estExt_fgenesh1_pm.C_2_t10341,286,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1001481|estExt_fgenesh1_pm.C_2_t10442,278,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1001595|estExt_fgenesh1_pm.C_2_t20075,191,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1001606|estExt_fgenesh1_pm.C_2_t20087,343,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|100175|CE100174_267,165,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1001760|estExt_fgenesh1_pm.C_2_t20255,443,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1001822|estExt_fgenesh1_pm.C_2_t20321,439,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1001850|estExt_fgenesh1_pm.C_30005,500,12,IN,12,IN,R,R,R,R,G,G,G
jgi|Rhitru1|1001875|estExt_fgenesh1_pm.C_30031,497,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Rhitru1|1001985|estExt_fgenesh1_pm.C_30150,79,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Rhitru1|1002026|estExt_fgenesh1_pm.C_30192,243,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002046|estExt_fgenesh1_pm.C_30215,636,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002048|estExt_fgenesh1_pm.C_30218,368,0,OUT,1,OUT,R,R,R,R,G,R,R
jgi|Rhitru1|1002063|estExt_fgenesh1_pm.C_30236,366,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002080|estExt_fgenesh1_pm.C_30253,997,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002144|estExt_fgenesh1_pm.C_30323,1628,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002248|estExt_fgenesh1_pm.C_30434,376,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002259|estExt_fgenesh1_pm.C_30447,1119,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002282|estExt_fgenesh1_pm.C_30472,660,4,IN,3,IN,R,R,R,R,R,G,G
jgi|Rhitru1|1002330|estExt_fgenesh1_pm.C_40045,843,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002335|estExt_fgenesh1_pm.C_40050,274,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Rhitru1|1002343|estExt_fgenesh1_pm.C_40058,674,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002384|estExt_fgenesh1_pm.C_40103,509,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002430|estExt_fgenesh1_pm.C_40151,418,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002446|estExt_fgenesh1_pm.C_40168,239,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002453|estExt_fgenesh1_pm.C_40175,552,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002498|estExt_fgenesh1_pm.C_40224,540,12,IN,11,OUT,R,R,R,R,G,G,G
jgi|Rhitru1|1002514|estExt_fgenesh1_pm.C_40241,669,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002517|estExt_fgenesh1_pm.C_40245,317,3,OUT,6,OUT,R,R,R,R,R,G,G
jgi|Rhitru1|1002529|estExt_fgenesh1_pm.C_40257,567,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002577|estExt_fgenesh1_pm.C_40305,405,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002629|estExt_fgenesh1_pm.C_50025,133,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002715|estExt_fgenesh1_pm.C_50119,664,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|1002740|estExt_fgenesh1_pm.C_50144,224,0,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Rhitru1|1002746|estExt_fgenesh1_pm.C_50151,625,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002764|estExt_fgenesh1_pm.C_50170,355,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhitru1|1002782|estExt_fgenesh1_pm.C_50189,343,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhitru1|100287|CE100286_1684,613,5,OUT,5,OUT,R,R,R,R,G,G,G
jgi|Rhitru1|1002884|estExt_fgenesh1_pm.C_60002,503,0,OUT,0,OUT,R,R,R,R,R,R,R
