SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Rusbre1|1000005|fgenesh1_kg.15_#_724_#_TRINITY_DN30532_c0_g2_i2,156,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000060|fgenesh1_kg.15_#_779_#_TRINITY_DN29811_c1_g2_i4,871,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000099|fgenesh1_kg.15_#_818_#_TRINITY_DN30669_c1_g2_i7,1541,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000114|fgenesh1_kg.15_#_833_#_TRINITY_DN31751_c2_g1_i10,476,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000203|fgenesh1_kg.15_#_922_#_TRINITY_DN31560_c3_g1_i9,100,0,OUT,2,OUT,R,R,R,R,G,R,R
jgi|Rusbre1|1000204|fgenesh1_kg.15_#_923_#_TRINITY_DN28590_c0_g1_i3,424,6,IN,6,IN,G,R,R,R,G,G,R
jgi|Rusbre1|1000237|fgenesh1_kg.15_#_956_#_TRINITY_DN28168_c0_g1_i8,352,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000313|fgenesh1_kg.15_#_1032_#_TRINITY_DN30940_c5_g1_i10,1012,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000442|fgenesh1_kg.16_#_125_#_TRINITY_DN30739_c1_g1_i5,87,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000459|fgenesh1_kg.16_#_142_#_TRINITY_DN31992_c2_g1_i3,496,0,OUT,4,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000464|fgenesh1_kg.16_#_147_#_TRINITY_DN31992_c1_g1_i3,178,0,IN,1,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000466|fgenesh1_kg.16_#_149_#_TRINITY_DN31992_c0_g1_i1,346,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000483|fgenesh1_kg.16_#_166_#_TRINITY_DN32298_c1_g1_i7,326,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000530|fgenesh1_kg.16_#_213_#_TRINITY_DN30553_c2_g1_i7,547,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000533|fgenesh1_kg.16_#_216_#_TRINITY_DN30553_c0_g1_i1,332,2,IN,2,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000540|fgenesh1_kg.16_#_223_#_TRINITY_DN31655_c2_g2_i1,59,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000541|fgenesh1_kg.16_#_224_#_TRINITY_DN31655_c2_g1_i3,101,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000544|fgenesh1_kg.16_#_227_#_TRINITY_DN31655_c3_g3_i2,107,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000558|fgenesh1_kg.16_#_241_#_TRINITY_DN28108_c0_g1_i4,164,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000616|fgenesh1_kg.16_#_299_#_TRINITY_DN31655_c3_g3_i1,107,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000627|fgenesh1_kg.16_#_310_#_TRINITY_DN31655_c2_g1_i2,264,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000655|fgenesh1_kg.16_#_338_#_TRINITY_DN32235_c1_g11_i1,107,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000666|fgenesh1_kg.16_#_349_#_TRINITY_DN32235_c2_g3_i4,109,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000685|fgenesh1_kg.16_#_368_#_TRINITY_DN31583_c4_g1_i5,622,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rusbre1|1000706|fgenesh1_kg.16_#_389_#_TRINITY_DN31583_c0_g1_i2,281,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000707|fgenesh1_kg.16_#_390_#_TRINITY_DN31583_c3_g1_i1,520,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Rusbre1|1000712|fgenesh1_kg.16_#_395_#_TRINITY_DN24559_c0_g1_i1,3111,0,OUT,0,OUT,R,R,R,R,R,R,R
