SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Gaumor1_1|1000010|CE1000009_4022,241,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|100010|CE100009_4768,217,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|1000135|CE1000134_19790,840,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|10005|CE10004_4677,179,1,IN,1,OUT,R,R,R,R,R,R,G
jgi|Gaumor1_1|1002195|CE1002194_105,81,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1002418|CE1002417_247,409,2,IN,3,IN,R,R,R,R,G,R,R
jgi|Gaumor1_1|1002439|CE1002438_2630,554,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1002620|CE1002619_13470,616,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1007078|CE1007077_21277,716,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|1009586|CE1009585_2624,624,12,IN,11,IN,R,R,R,R,G,G,R
jgi|Gaumor1_1|1011935|CE1011934_151,90,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|1013063|CE1013062_993,203,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1013345|CE1013344_80,95,3,IN,2,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1013717|CE1013716_89,137,1,IN,1,OUT,R,R,R,R,G,R,G
jgi|Gaumor1_1|1013782|CE1013781_3162,119,3,OUT,2,IN,R,R,R,R,R,R,G
jgi|Gaumor1_1|1014620|CE1014619_3737,597,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|1014709|CE1014708_28,200,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1014720|CE1014719_7,102,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1014810|CE1014809_142,171,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Gaumor1_1|1014853|CE1014852_215,207,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1014920|CE1014919_34,200,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gaumor1_1|101505|CE101504_1924,142,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Gaumor1_1|1015168|CE1015167_2171,563,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gaumor1_1|1016092|CE1016091_77,89,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Gaumor1_1|1017113|CE1017112_261,110,0,OUT,0,IN,R,R,R,R,R,R,R
