SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Pilcr1|83238|fgenesh1_pg.00001_#_1,198,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|57472|e_gw1.00001.463.1,104,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|2|gm1.2_g,627,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|57688|e_gw1.00001.358.1,144,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|83239|fgenesh1_pg.00001_#_2,201,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Pilcr1|99590|CE90_15,69,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|5|gm1.5_g,149,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Pilcr1|809781|fgenesh1_kg.00001_#_3_#_Locus17554v1rpkm1.82,59,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|809782|fgenesh1_kg.00001_#_4_#_Locus2238v1rpkm91.17,172,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|99642|CE142_2958,81,2,IN,1,OUT,R,R,R,R,R,R,G
jgi|Pilcr1|809783|fgenesh1_kg.00001_#_5_#_Locus3955v1rpkm52.90,587,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|99674|CE174_86,157,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Pilcr1|809785|fgenesh1_kg.00001_#_7_#_Locus5140v1rpkm38.86,337,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|809788|fgenesh1_kg.00001_#_10_#_Locus2918v1rpkm72.09,3680,3,IN,3,IN,R,R,R,R,R,R,R
jgi|Pilcr1|809789|fgenesh1_kg.00001_#_11_#_Locus6217v1rpkm29.63,166,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Pilcr1|809790|fgenesh1_kg.00001_#_12_#_Locus6217v2rpkm27.72,631,1,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|809792|fgenesh1_kg.00001_#_14_#_Locus8815v1rpkm13.88,593,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Pilcr1|809794|fgenesh1_kg.00001_#_16_#_Locus4781v1rpkm42.28,464,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|809795|fgenesh1_kg.00001_#_17_#_Locus4608v2rpkm4.31_PRE,348,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|57696|e_gw1.00001.276.1,497,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|57401|e_gw1.00001.1001.1,81,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|809798|fgenesh1_kg.00001_#_20_#_Locus10121v1rpkm9.29,369,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Pilcr1|100337|CE837_2625,664,0,OUT,3,IN,R,R,R,R,R,R,R
jgi|Pilcr1|809801|fgenesh1_kg.00001_#_23_#_Locus14901v1rpkm2.79,89,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Pilcr1|19|gm1.19_g,359,1,IN,1,IN,R,R,R,R,R,R,G
jgi|Pilcr1|20|gm1.20_g,326,0,OUT,2,OUT,R,R,R,R,R,R,R
