SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Thega1|3106739|fgenesh1_kg.1_#_402_#_Locus700v3rpkm59.71,544,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|79589|CE79588_6718,628,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3182174|gm1.238_g,187,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Thega1|79735|CE79734_4356,324,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3106735|fgenesh1_kg.1_#_398_#_Locus338v6rpkm0.00_PRE,117,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Thega1|3182171|gm1.235_g,254,2,IN,2,IN,R,R,R,R,R,R,G
jgi|Thega1|3085655|e_gw1.1.490.1,274,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3152721|fgenesh1_pm.1_#_156,1144,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Thega1|3085941|e_gw1.1.669.1,776,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3182167|gm1.231_g,472,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Thega1|3125223|fgenesh1_pg.1_#_181,900,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Thega1|3152718|fgenesh1_pm.1_#_153,570,9,OUT,9,OUT,G,R,R,R,G,G,R
jgi|Thega1|3264890|estExt_Genemark1.C_10228,448,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3086058|e_gw1.1.279.1,907,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3134067|estExt_Genewise1Plus.C_1_t20025,157,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3106706|fgenesh1_kg.1_#_369_#_Locus3623v6rpkm0.34_PRE,158,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3106705|fgenesh1_kg.1_#_368_#_Locus30587v1rpkm0.66,54,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3152714|fgenesh1_pm.1_#_149,317,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3177181|estExt_fgenesh1_pm.C_10146,568,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3085936|e_gw1.1.164.1,246,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3182158|gm1.222_g,180,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3264883|estExt_Genemark1.C_10221,1162,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|138295|CE138294_7477,772,3,OUT,4,IN,R,R,R,R,R,R,R
jgi|Thega1|3106698|fgenesh1_kg.1_#_361_#_Locus1368v18rpkm0.00_PRE,196,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3182155|gm1.219_g,702,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3106691|fgenesh1_kg.1_#_354_#_Locus1368v1rpkm160.88,252,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3106687|fgenesh1_kg.1_#_350_#_Locus4127v5rpkm3.47_PRE,795,12,IN,13,IN,R,R,R,R,R,G,R
jgi|Thega1|3182152|gm1.216_g,203,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Thega1|3182151|gm1.215_g,372,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Thega1|3085935|e_gw1.1.59.1,124,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Thega1|3158103|estExt_Genewise1.C_1_t20008,938,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Thega1|3085571|e_gw1.1.309.1,404,10,OUT,11,IN,R,R,R,R,G,G,G
