SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Paxin1|94902|estExt_Genemark1.C_1_t10001,370,4,IN,6,IN,R,R,R,R,G,G,G
jgi|Paxin1|164833|fgenesh1_kg.1_#_1_#_isotig03620,190,2,IN,3,OUT,R,R,R,R,R,R,R
jgi|Paxin1|5433|gm1.4_g,82,2,OUT,2,OUT,R,R,R,R,R,R,G
jgi|Paxin1|159431|fgenesh1_pm.1_#_2,125,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|104267|estExt_Genewise1Plus.C_1_t10012,142,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Paxin1|94905|estExt_Genemark1.C_1_t10006,103,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Paxin1|159432|fgenesh1_pm.1_#_3,643,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|5437|gm1.8_g,249,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Paxin1|64023|e_gw1.1.1483.1,763,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Paxin1|164838|fgenesh1_kg.1_#_6_#_isotig02043,1745,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Paxin1|159434|fgenesh1_pm.1_#_5,242,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|104273|estExt_Genewise1Plus.C_1_t10024,834,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Paxin1|64511|e_gw1.1.1695.1,536,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|30280|gw1.1.447.1,199,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Paxin1|164840|fgenesh1_kg.1_#_8_#_isotig12054,78,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Paxin1|173533|estExt_fgenesh1_pm.C_1_t10008,54,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Paxin1|5444|gm1.15_g,603,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Paxin1|151849|fgenesh1_pg.1_#_7,663,1,IN,3,IN,R,R,R,R,R,R,R
jgi|Paxin1|64540|e_gw1.1.170.1,75,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Paxin1|164841|fgenesh1_kg.1_#_9_#_isotig07531,951,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Paxin1|164842|fgenesh1_kg.1_#_10_#_isotig04017,291,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|159440|fgenesh1_pm.1_#_11,1042,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Paxin1|164848|fgenesh1_kg.1_#_16_#_isotig12959,134,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|164849|fgenesh1_kg.1_#_17_#_isotig12054,90,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Paxin1|164850|fgenesh1_kg.1_#_18_#_isotig07333,1238,0,OUT,4,IN,R,R,R,R,R,R,R
jgi|Paxin1|164851|fgenesh1_kg.1_#_19_#_isotig12932,125,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|164852|fgenesh1_kg.1_#_20_#_isotig09176,485,1,IN,1,OUT,R,R,R,R,R,R,R
jgi|Paxin1|94920|estExt_Genemark1.C_1_t10025,296,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Paxin1|5455|gm1.26_g,533,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Paxin1|63933|e_gw1.1.98.1,195,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Paxin1|63249|e_gw1.1.562.1,405,0,OUT,1,IN,R,R,R,R,R,R,R
