SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suigr1|924591|estExt_Genewise1Plus.C_3_t10451,335,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suigr1|956199|fgenesh1_kg.3_#_186_#_Locus6367v1rpkm32.01,1140,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suigr1|980225|estExt_fgenesh1_pm.C_30144,1886,2,OUT,5,IN,R,R,R,R,R,R,R
jgi|Suigr1|1027626|MIX20551_3861_71,355,0,OUT,3,IN,R,R,R,R,R,R,R
jgi|Suigr1|995247|gm1.1687_g,250,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suigr1|980222|estExt_fgenesh1_pm.C_30141,547,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suigr1|386026|CE386025_990,116,1,IN,1,IN,R,R,R,R,G,R,G
jgi|Suigr1|838447|gw1.3.221.1,185,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suigr1|956189|fgenesh1_kg.3_#_176_#_Locus5344v2rpkm19.90,225,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suigr1|385920|CE385919_4000,263,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suigr1|902563|estExt_Genewise1.C_3_t10433,887,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Suigr1|838481|gw1.3.222.1,115,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suigr1|873976|e_gw1.3.1379.1,138,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suigr1|956181|fgenesh1_kg.3_#_168_#_Locus3992v1rpkm58.07,192,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suigr1|1027587|MIX20512_897_30,855,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suigr1|924553|estExt_Genewise1Plus.C_3_t10413,495,12,IN,12,IN,R,R,R,R,G,G,G
