SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suivar1|1000157|CE1000156_2178,212,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suivar1|1000194|CE1000193_90074,443,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1000199|CE1000198_5145,1316,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Suivar1|1002466|CE1002465_6209,465,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|1003362|CE1003361_5027,634,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1003956|CE1003955_10380,153,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|1004016|CE1004015_13240,259,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|100410|CE100409_4234,131,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1004698|CE1004697_6216,325,5,OUT,5,OUT,R,R,R,R,G,G,G
jgi|Suivar1|1004763|CE1004762_60164,760,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|100487|CE100486_7916,533,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|1005575|CE1005574_4238,447,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1006115|CE1006114_2175,236,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|1006155|CE1006154_6362,684,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|10071|CE10070_995,181,1,IN,1,OUT,R,R,R,R,R,R,G
jgi|Suivar1|1007705|CE1007704_5775,100,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1007802|CE1007801_5026,97,1,IN,1,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1008412|CE1008411_46845,603,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|1008469|CE1008468_5767,167,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1008699|CE1008698_5910,422,1,OUT,3,OUT,R,R,R,R,R,R,G
jgi|Suivar1|1009896|CE1009895_2326,156,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suivar1|1010390|CE1010389_27414,418,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Suivar1|1010709|CE1010708_9397,600,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suivar1|1011483|CE1011482_4970,283,0,OUT,1,IN,R,R,R,R,R,R,R
