SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Hebcy2|80278|CE18_816,336,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80299|CE39_292,449,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Hebcy2|437740|fgenesh1_kg.1_#_3_#_Locus10759v2rpkm0.24,478,3,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|14987|fgenesh1_pm.1_#_1,190,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80310|CE50_257,514,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|80378|CE118_1110,549,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80382|CE122_193,115,2,IN,0,OUT,R,R,R,R,R,R,G
jgi|Hebcy2|80392|CE132_926,893,7,IN,7,OUT,R,R,R,R,R,G,R
jgi|Hebcy2|437742|fgenesh1_kg.1_#_5_#_Locus2721v1rpkm25.01,367,0,OUT,3,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437744|fgenesh1_kg.1_#_7_#_Locus8870v1rpkm2.82,786,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20903|gm1.11_g,121,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|5955|fgenesh1_pg.1_#_9,102,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|59783|e_gw1.1.1507.1,143,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437745|fgenesh1_kg.1_#_8_#_Locus1401v1rpkm49.82,355,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|80460|CE200_278,109,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20906|gm1.14_g,302,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80533|CE273_664,525,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|61201|e_gw1.1.116.1,357,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80581|CE321_29,82,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Hebcy2|437751|fgenesh1_kg.1_#_14_#_Locus14187v1rpkm1.00,66,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|20908|gm1.16_g,376,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437752|fgenesh1_kg.1_#_15_#_Locus13766v1rpkm1.08,116,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437753|fgenesh1_kg.1_#_16_#_Locus7730v1rpkm4.07,314,6,IN,7,OUT,G,R,R,R,G,G,R
jgi|Hebcy2|80614|CE354_2919,449,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80659|CE399_137,127,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437757|fgenesh1_kg.1_#_20_#_Locus653v1rpkm107.02,425,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|59080|e_gw1.1.139.1,120,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437759|fgenesh1_kg.1_#_22_#_Locus1985v2rpkm2.03_PRE,102,2,IN,2,IN,R,R,R,R,R,R,R
jgi|Hebcy2|80717|CE457_23,86,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|20913|gm1.21_g,403,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|5966|fgenesh1_pg.1_#_20,755,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437761|fgenesh1_kg.1_#_24_#_Locus1190v2rpkm35.01,388,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20917|gm1.25_g,425,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|80777|CE517_22,99,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|20919|gm1.27_g,415,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|80822|CE562_437309,320,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|14995|fgenesh1_pm.1_#_9,290,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81087|CE827_832,274,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|20923|gm1.31_g,212,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|404828|MIX95_6_52,200,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|404837|MIX104_4_38,339,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81123|CE863_96,111,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|20928|gm1.36_g,275,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437769|fgenesh1_kg.1_#_32_#_Locus10333v3rpkm0.39,420,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|404854|MIX121_21_100,216,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|15000|fgenesh1_pm.1_#_14,200,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437770|fgenesh1_kg.1_#_33_#_Locus4095v1rpkm15.41,445,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81194|CE934_41,66,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437771|fgenesh1_kg.1_#_34_#_Locus9255v1rpkm2.54,64,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20936|gm1.44_g,329,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81238|CE978_128,134,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81252|CE992_410,114,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81251|CE991_8993,365,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81244|CE984_7397,223,4,IN,3,IN,R,R,R,R,R,R,G
jgi|Hebcy2|81271|CE1011_10,85,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81301|CE1041_13,60,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437776|fgenesh1_kg.1_#_39_#_Locus10695v1rpkm1.82,197,0,OUT,4,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81374|CE1114_436,504,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81366|CE1106_304,299,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|20940|gm1.48_g,446,2,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437779|fgenesh1_kg.1_#_42_#_Locus14825v1rpkm0.91,58,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81392|CE1132_55,197,4,IN,4,IN,R,R,R,R,G,R,G
jgi|Hebcy2|81422|CE1162_1769,687,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437782|fgenesh1_kg.1_#_45_#_Locus934v1rpkm71.80,532,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Hebcy2|404892|MIX159_10_54,151,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437784|fgenesh1_kg.1_#_47_#_Locus19489v1rpkm0.58,66,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20944|gm1.52_g,304,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437785|fgenesh1_kg.1_#_48_#_Locus17912v1rpkm0.66,64,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437786|fgenesh1_kg.1_#_49_#_Locus13738v1rpkm1.08,97,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437787|fgenesh1_kg.1_#_50_#_Locus15310v1rpkm0.86,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|59431|e_gw1.1.69.1,150,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81600|CE1340_19,89,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437790|fgenesh1_kg.1_#_53_#_Locus13200v1rpkm1.19,59,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437791|fgenesh1_kg.1_#_54_#_Locus21276v1rpkm0.50,51,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|5991|fgenesh1_pg.1_#_45,173,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81681|CE1421_4612,821,10,IN,10,IN,G,R,R,R,G,G,G
jgi|Hebcy2|437793|fgenesh1_kg.1_#_56_#_Locus7658v1rpkm4.15,277,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81702|CE1442_210,176,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81710|CE1450_171,257,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437794|fgenesh1_kg.1_#_57_#_Locus12838v1rpkm1.26,114,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81723|CE1463_1692,127,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437796|fgenesh1_kg.1_#_59_#_Locus4515v1rpkm13.35,1357,10,IN,11,OUT,R,R,R,R,G,G,R
jgi|Hebcy2|20952|gm1.60_g,1045,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437798|fgenesh1_kg.1_#_61_#_Locus4541v1rpkm13.25,447,0,OUT,0,IN,R,R,R,R,R,G,R
jgi|Hebcy2|437799|fgenesh1_kg.1_#_62_#_Locus8148v1rpkm3.53,789,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81846|CE1586_63,146,0,OUT,2,IN,R,R,R,R,R,R,G
jgi|Hebcy2|81981|CE1721_140,123,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81930|CE1670_25,87,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81972|CE1712_1511,523,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437803|fgenesh1_kg.1_#_66_#_Locus11808v1rpkm1.48,932,8,OUT,5,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|81864|CE1604_168,87,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437805|fgenesh1_kg.1_#_68_#_Locus25612v1rpkm0.31,63,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|15009|fgenesh1_pm.1_#_23,471,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|81905|CE1645_5180,55,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|15010|fgenesh1_pm.1_#_24,666,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20959|gm1.67_g,140,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Hebcy2|82041|CE1781_1790,163,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|38628|gw1.1.713.1,135,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437808|fgenesh1_kg.1_#_71_#_Locus2121v1rpkm32.77,226,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|60457|e_gw1.1.661.1,348,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hebcy2|20963|gm1.71_g,1475,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|437810|fgenesh1_kg.1_#_73_#_Locus4198v1rpkm14.82,421,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Hebcy2|82263|CE2003_55,304,0,OUT,0,OUT,R,R,R,R,G,R,R
jgi|Hebcy2|437812|fgenesh1_kg.1_#_75_#_Locus12805v1rpkm1.26,181,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hebcy2|60162|e_gw1.1.670.1,414,1,OUT,4,IN,R,R,R,R,R,R,R
jgi|Hebcy2|82359|CE2099_612,186,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437813|fgenesh1_kg.1_#_76_#_Locus2372v1rpkm28.84,1169,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hebcy2|437814|fgenesh1_kg.1_#_77_#_Locus5939v1rpkm8.04,1106,0,OUT,1,IN,R,R,R,R,R,R,R
