SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Hydru2|1339674|fgenesh1_kg.24_#_211_#_Locus2779v1rpkm85.81,319,1,IN,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|527774|CE527773_8840,851,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|1339673|fgenesh1_kg.24_#_210_#_Locus771v1rpkm218.33,390,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hydru2|1433792|MIX30290_210_40,282,7,OUT,7,OUT,R,R,R,R,G,G,G
jgi|Hydru2|1359663|fgenesh1_pg.24_#_49,213,1,IN,2,IN,R,R,R,R,R,R,R
jgi|Hydru2|1339671|fgenesh1_kg.24_#_208_#_Locus11669v2rpkm5.77,283,7,OUT,7,OUT,R,R,R,R,G,G,R
jgi|Hydru2|1375690|estExt_fgenesh1_pm.C_240008,346,0,OUT,6,OUT,R,R,R,R,G,R,R
jgi|Hydru2|527122|CE527121_18890,977,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|1290984|e_gw1.24.47.1,972,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|526984|CE526983_494,110,1,OUT,1,IN,R,R,R,R,G,R,R
jgi|Hydru2|1339668|fgenesh1_kg.24_#_205_#_Locus5494v3rpkm7.30,144,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1359656|fgenesh1_pg.24_#_42,128,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|1371407|fgenesh1_pm.24_#_6,2242,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hydru2|525442|CE525441_1468,264,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Hydru2|526251|CE526250_529,140,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|525654|CE525653_502,109,1,OUT,1,IN,R,R,R,R,R,R,G
jgi|Hydru2|1433670|MIX30168_141_74,297,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|525314|CE525313_9304,307,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|525612|CE525611_3493,524,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|526403|CE526402_25,65,1,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Hydru2|1483323|estExt_Genemark1.C_240041,298,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1389893|gm1.3256_g,200,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Hydru2|525708|CE525707_900,198,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1359649|fgenesh1_pg.24_#_35,157,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Hydru2|525750|CE525749_654,116,1,OUT,1,OUT,R,R,R,R,R,R,G
jgi|Hydru2|1371406|fgenesh1_pm.24_#_5,175,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|524946|CE524945_5034,145,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Hydru2|1433638|MIX30136_325_36,274,1,IN,1,OUT,R,R,R,R,G,R,R
jgi|Hydru2|1389885|gm1.3248_g,336,2,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1339619|fgenesh1_kg.24_#_156_#_Locus15088v1rpkm5.80,93,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Hydru2|1339614|fgenesh1_kg.24_#_151_#_Locus970v11rpkm7.45_PRE,160,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1339604|fgenesh1_kg.24_#_141_#_Locus970v15rpkm2.08_PRE,80,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1389882|gm1.3245_g,145,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1339596|fgenesh1_kg.24_#_133_#_Locus12829v1rpkm9.95,55,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1291026|e_gw1.24.54.1,238,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1339573|fgenesh1_kg.24_#_110_#_Locus23685v1rpkm1.21,57,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1339563|fgenesh1_kg.24_#_100_#_Locus14399v5rpkm0.00_PRE,53,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|524477|CE524476_34,97,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Hydru2|1359638|fgenesh1_pg.24_#_24,377,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|1359637|fgenesh1_pg.24_#_23,223,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|524015|CE524014_17753,314,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Hydru2|524000|CE523999_41396,346,0,OUT,0,OUT,R,R,R,R,R,R,R
