SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Rhivul1|100259|CE100258_2949,489,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|100260|CE100259_14691,371,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|100487|CE100486_3199,116,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|100605|CE100604_1581,412,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|100787|CE100786_1266,457,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|100877|CE100876_2121,408,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|100981|CE100980_1773,1706,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|101180|CE101179_271,252,6,IN,6,IN,R,R,R,R,G,G,G
jgi|Rhivul1|101266|CE101265_1515,265,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|10131|CE10130_853,209,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|101416|CE101415_634,749,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|101584|CE101583_1563,1083,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|101621|CE101620_352,340,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|102520|CE102519_2277,160,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|102651|CE102650_522,289,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|102672|CE102671_1159,538,1,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rhivul1|102748|CE102747_630,289,6,IN,6,IN,R,R,R,R,G,R,G
jgi|Rhivul1|102916|CE102915_752,203,4,IN,3,IN,R,R,R,R,G,R,R
jgi|Rhivul1|103112|CE103111_1289,250,6,OUT,6,OUT,R,R,R,R,G,G,G
jgi|Rhivul1|103253|CE103252_13817,617,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|1032|CE1031_974,192,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|10343|CE10342_4602,649,7,OUT,7,IN,R,R,R,R,R,R,G
jgi|Rhivul1|103574|CE103573_383,298,6,IN,7,OUT,R,R,R,R,G,G,G
jgi|Rhivul1|103620|CE103619_204,223,3,OUT,4,IN,R,R,R,R,G,R,R
jgi|Rhivul1|103784|CE103783_409,436,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|104437|CE104436_2784,564,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|104497|CE104496_287,585,1,IN,0,OUT,R,R,R,R,G,G,R
jgi|Rhivul1|104608|CE104607_2124,319,6,IN,7,OUT,R,R,R,R,G,G,G
jgi|Rhivul1|104643|CE104642_100,340,6,IN,7,OUT,R,R,R,R,G,G,G
jgi|Rhivul1|104964|CE104963_537,347,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|105936|CE105935_297,469,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106056|CE106055_56,454,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106236|CE106235_4858,90,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106252|CE106251_1052,821,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106272|CE106271_1242,454,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106577|CE106576_24403,178,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106682|CE106681_9438,459,13,OUT,12,IN,R,R,R,R,R,G,G
jgi|Rhivul1|106850|CE106849_101,424,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|106877|CE106876_3120,587,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|107384|CE107383_1158,162,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|107405|CE107404_536,316,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|107523|CE107522_1079,197,5,OUT,5,OUT,R,R,R,R,G,R,G
jgi|Rhivul1|107536|CE107535_569,404,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|107691|CE107690_7325,413,3,OUT,3,OUT,R,R,R,R,R,G,G
jgi|Rhivul1|107694|CE107693_50,180,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Rhivul1|107724|CE107723_1130,532,4,IN,4,IN,R,R,R,R,R,R,G
jgi|Rhivul1|107839|CE107838_135,288,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|10803|CE10802_573,231,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|108088|CE108087_12551,303,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|10821|CE10820_1023,368,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|108311|CE108310_2580,66,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|108529|CE108528_372,404,8,OUT,8,OUT,R,R,R,R,G,G,R
jgi|Rhivul1|108801|CE108800_8015,223,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|109286|CE109285_262,212,0,OUT,1,IN,R,R,R,R,R,R,G
jgi|Rhivul1|109373|CE109372_4933,468,1,IN,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|11023|CE11022_3098,399,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|110344|CE110343_2889,269,2,IN,2,OUT,R,R,R,R,G,R,R
jgi|Rhivul1|110404|CE110403_2467,920,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|11096|CE11095_7453,200,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivul1|111150|CE111149_5478,669,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|111292|CE111291_1666,312,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|111666|CE111665_1240,518,0,OUT,2,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|112050|CE112049_265,149,2,IN,1,IN,R,R,R,R,G,R,G
jgi|Rhivul1|112080|CE112079_11721,690,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|112119|CE112118_1050,201,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivul1|113023|CE113022_357,502,4,IN,6,OUT,R,R,R,R,G,G,G
jgi|Rhivul1|113342|CE113341_5849,275,6,OUT,5,IN,R,R,R,R,R,R,R
jgi|Rhivul1|113363|CE113362_17244,242,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|113417|CE113416_64,154,0,IN,1,IN,R,R,R,R,R,R,R
jgi|Rhivul1|113449|CE113448_220,106,0,OUT,0,IN,R,R,R,R,R,R,R
