SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Rhivi1|13496|CE13495_6774,137,0,OUT,1,IN,R,R,R,R,G,R,G
jgi|Rhivi1|764778|fgenesh1_kg.1_#_171_#_Locus4414v1rpkm40.88,848,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|13277|CE13276_9628,843,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivi1|705674|estExt_Genewise1.C_1_t10477,169,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|13335|CE13334_4994,302,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|677825|e_gw1.1.396.1,689,4,OUT,6,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|728716|estExt_Genewise1Plus.C_1_t10466,179,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|728714|estExt_Genewise1Plus.C_1_t10464,637,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|807793|MIX557_13965_52,650,7,OUT,8,IN,G,R,R,R,G,G,G
jgi|Rhivi1|705656|estExt_Genewise1.C_1_t10459,1409,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivi1|764774|fgenesh1_kg.1_#_167_#_Locus2657v1rpkm74.09,366,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|677641|e_gw1.1.103.1,395,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|677768|e_gw1.1.262.1,227,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|764772|fgenesh1_kg.1_#_165_#_Locus7838v1rpkm15.03,1000,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Rhivi1|795184|gm1.176_g,344,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|705639|estExt_Genewise1.C_1_t10442,1457,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Rhivi1|705635|estExt_Genewise1.C_1_t10438,254,4,IN,4,IN,R,R,R,R,R,R,G
jgi|Rhivi1|764767|fgenesh1_kg.1_#_160_#_Locus2057v1rpkm97.29,360,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|861170|estExt_Genemark1.C_10172,743,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|788567|fgenesh1_pm.1_#_150,549,11,IN,11,IN,R,R,R,R,G,G,R
jgi|Rhivi1|677928|e_gw1.1.109.1,296,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|764764|fgenesh1_kg.1_#_157_#_Locus4303v1rpkm42.20,197,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|795175|gm1.167_g,884,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivi1|728669|estExt_Genewise1Plus.C_1_t10419,120,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|677753|e_gw1.1.494.1,269,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|677903|e_gw1.1.60.1,137,0,IN,0,IN,R,R,R,R,R,R,R
jgi|Rhivi1|861161|estExt_Genemark1.C_10163,270,0,OUT,0,IN,R,R,R,R,G,R,R
jgi|Rhivi1|705608|estExt_Genewise1.C_1_t10411,1945,0,OUT,0,OUT,R,R,R,R,R,G,R
jgi|Rhivi1|11040|CE11039_34407,827,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivi1|705602|estExt_Genewise1.C_1_t10405,451,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivi1|807707|MIX471_285_35,574,14,IN,15,IN,R,R,R,R,G,G,G
jgi|Rhivi1|861157|estExt_Genemark1.C_10159,621,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|764755|fgenesh1_kg.1_#_148_#_Locus1358v1rpkm144.41,349,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|846261|estExt_fgenesh1_pm.C_10136,368,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|705586|estExt_Genewise1.C_1_t10389,221,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivi1|861153|estExt_Genemark1.C_10155,320,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Rhivi1|764751|fgenesh1_kg.1_#_144_#_Locus6689v1rpkm21.31,267,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Rhivi1|728631|estExt_Genewise1Plus.C_1_t10381,256,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Rhivi1|861150|estExt_Genemark1.C_10152,1983,0,OUT,0,OUT,R,R,R,R,R,R,R
