SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Suicli1|10000|CE9999_6345,207,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicli1|100243|CE100242_283,118,0,IN,0,OUT,R,R,R,R,R,R,R
jgi|Suicli1|100676|CE100675_867,146,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suicli1|100709|CE100708_7503,2578,0,OUT,0,IN,R,R,R,R,R,G,R
jgi|Suicli1|100897|CE100896_1129,198,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicli1|10125|CE10124_7424,419,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicli1|102670|CE102669_2814,324,0,OUT,5,OUT,R,R,R,R,R,R,R
jgi|Suicli1|102683|CE102682_1979,375,9,OUT,9,OUT,R,R,R,R,G,G,G
jgi|Suicli1|102748|CE102747_4620,216,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicli1|102821|CE102820_1170,227,0,OUT,0,OUT,R,R,R,R,R,R,G
jgi|Suicli1|102829|CE102828_68,195,0,OUT,2,IN,R,R,R,R,R,R,G
jgi|Suicli1|103300|CE103299_867,479,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicli1|103499|CE103498_3368,560,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicli1|103656|CE103655_43,114,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Suicli1|103753|CE103752_87208,186,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicli1|103804|CE103803_8915,523,7,OUT,8,IN,R,R,R,R,G,G,G
jgi|Suicli1|103833|CE103832_30738,277,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicli1|103922|CE103921_9056,603,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Suicli1|104224|CE104223_8829,359,0,OUT,0,OUT,R,R,R,R,R,R,R
