SeqID,Length,Phob,Phob_N,TOP,TOP_N,GPCRHMM,SAM,SAM1,SAM2,SVM_AA,SVM_di,PLS_ACC
jgi|Gyrli1|501555|CE501554_1705,252,3,OUT,5,IN,R,R,R,R,G,G,R
jgi|Gyrli1|776055|fgenesh1_kg.6_#_445_#_Locus5689v1rpkm31.20,51,1,OUT,1,IN,R,R,R,R,R,R,R
jgi|Gyrli1|776054|fgenesh1_kg.6_#_444_#_Locus4485v1rpkm45.09,345,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|878594|estExt_Genemark1.C_60268,204,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gyrli1|814658|gm1.2829_g,343,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|696424|e_gw1.6.748.1,349,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|696523|e_gw1.6.2121.1,180,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|648264|gw1.6.675.1,74,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|697611|e_gw1.6.1025.1,362,0,OUT,0,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|878590|estExt_Genemark1.C_60264,281,1,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|806802|estExt_fgenesh1_pg.C_60204,159,0,OUT,1,IN,R,R,R,R,R,R,R
jgi|Gyrli1|500792|CE500791_6394,971,0,OUT,0,IN,R,R,R,R,R,R,R
jgi|Gyrli1|500836|CE500835_15944,2718,0,OUT,1,IN,R,R,R,R,R,G,R
jgi|Gyrli1|500460|CE500459_12982,917,0,OUT,1,OUT,R,R,R,R,R,R,R
jgi|Gyrli1|800712|estExt_fgenesh1_pm.C_60233,373,0,OUT,2,IN,R,R,R,R,R,R,R
jgi|Gyrli1|776037|fgenesh1_kg.6_#_427_#_Locus2911v1rpkm73.04,284,0,OUT,0,IN,R,R,R,R,R,R,R
